,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS,Bare
19317,19317,2024-08-06 11:30:00,10272.0,0.0098667129745482,101.35087567455942,1947.2615451843064,0.2011437229924709,1870.5876459861904,0.193328857421875,7.590593390446312e-06,772.4,0.244,0.104,0.118,0.094,0.1676416672825985,0.0025333844494931,0.00131206068652,13.8,14.8,15.1,13.5,772.4,98.0,7.0,2024-08-06,0.193328857421875,860.1590354586111
19318,19318,2024-08-06 12:00:00,10222.0,0.0098908146103755,101.10390694725896,1945.464860172555,0.2022349588345019,1870.462064197824,0.193389892578125,7.4256553649720704e-06,772.8,0.242,0.104,0.118,0.094,0.1667656505182177,0.0035574430385014,0.0018424290700473,13.5,14.8,15.1,13.5,772.8,98.4,6.6,2024-08-06,0.193389892578125,860.1590354586111
19319,19319,2024-08-06 12:30:00,10376.0,0.0098171407696583,101.86265262597476,1973.2081579667208,0.1860193619093475,1896.8385159783927,0.178680419921875,7.4558409558865905e-06,772.8,0.242,0.104,0.118,0.094,0.1667656505182177,0.0035574430385014,0.0018424290700473,13.5,14.5,15.1,13.2,772.8,98.8,6.6,2024-08-06,0.178680419921875,860.1590354586111
19320,19320,2024-08-06 13:00:00,10120.0,0.0099405346560943,100.59821071967431,1928.7311427352347,0.2126905846889206,1854.0829074399733,0.203216552734375,7.4558409558865905e-06,773.1,0.24,0.104,0.118,0.094,0.165889633753837,0.0045815016275096,0.0023727974535746,13.2,14.5,14.8,13.5,773.1,98.8,6.6,2024-08-06,0.203216552734375,860.1590354586111
19321,19321,2024-08-06 13:30:00,10350.0,0.0098294637436598,101.73494974687902,1981.9328472563056,0.1811864453580672,1896.2211553363363,0.179046630859375,8.370614100610896e-06,773.1,0.24,0.102,0.118,0.094,0.1652239795776508,0.0053596475536489,0.0027758056421925,13.2,14.5,14.8,13.5,773.1,100.0,8.2,2024-08-06,0.179046630859375,860.1590354586111
19322,19322,2024-08-06 14:00:00,10366.0,0.0098218748880651,101.81355508968342,2003.8834663585835,0.1695455194338628,1911.3747763860104,0.171112060546875,8.96278380119742e-06,773.2,0.24,0.102,0.118,0.094,0.1652239795776508,0.0053596475536489,0.0027758056421925,12.9,14.2,14.8,13.5,773.2,89.6,11.0,2024-08-06,0.171112060546875,860.1590354586111
19323,19323,2024-08-06 14:30:00,10082.0,0.0099592504392471,100.40916292848976,1953.92885977076,0.1971454391806147,1860.3618266914336,0.199371337890625,9.313902327720311e-06,773.3,0.238,0.102,0.118,0.094,0.16434796281327,0.0063837061426571,0.0033061740257198,12.9,14.2,14.8,13.5,773.3,90.8,11.4,2024-08-06,0.199371337890625,860.1590354586111
19324,19324,2024-08-06 15:00:00,10506.0,0.0097562136379735,102.49878048055012,2045.8482191554365,0.1491583275342493,1940.8511982019625,0.156829833984375,1.0018229520725264e-05,773.2,0.238,0.102,0.118,0.094,0.16434796281327,0.0063837061426571,0.0033061740257198,12.9,14.2,14.8,13.5,773.2,88.4,13.0,2024-08-06,0.156829833984375,860.1590354586111
19325,19325,2024-08-06 15:30:00,10306.0,0.009850424143769,101.51847122568384,2002.620646288619,0.1701959360812052,1902.9279258099607,0.175506591796875,9.701688988350524e-06,773.0,0.238,0.102,0.118,0.094,0.16434796281327,0.0063837061426571,0.0033061740257198,13.2,13.8,14.8,13.5,773.0,70.4,16.2,2024-08-06,0.175506591796875,860.1590354586111
19326,19326,2024-08-06 16:00:00,10296.0,0.009855206599818,101.46920715172658,2001.1617238407832,0.1709502082005168,1898.3162895934952,0.177886962890625,1.0032812177265355e-05,772.8,0.236,0.102,0.118,0.094,0.1634719460488893,0.0074077647316653,0.003836542409247,13.2,13.8,14.8,13.5,772.8,61.6,19.0,2024-08-06,0.177886962890625,860.1590354586111
19327,19327,2024-08-06 16:30:00,10486.0,0.0097655132432094,102.40117186829455,2033.6897716989447,0.1548301864116837,1930.535237707868,0.161712646484375,9.895023466398776e-06,772.6,0.236,0.102,0.118,0.094,0.1634719460488893,0.0074077647316653,0.003836542409247,13.2,13.8,14.5,13.5,772.6,52.8,21.4,2024-08-06,0.161712646484375,860.1590354586111
19328,19328,2024-08-06 17:00:00,10552.0,0.0097349249722488,102.72292830717006,2035.9917385964504,0.1537422496705788,1938.449186239748,0.157928466796875,9.31849839027834e-06,772.3,0.234,0.102,0.118,0.094,0.1625959292845085,0.0084318233206735,0.0043669107927743,13.5,13.8,14.5,13.5,772.3,46.4,22.6,2024-08-06,0.157928466796875,860.1590354586111
19329,19329,2024-08-06 17:30:00,10452.0,0.0097813837880842,102.23502335305646,2006.5798863116088,0.1681643381315866,1917.285901537312,0.168182373046875,8.624651698055403e-06,772.1,0.234,0.102,0.118,0.094,0.1625959292845085,0.0084318233206735,0.0043669107927743,14.2,13.8,14.5,13.5,772.1,39.2,24.2,2024-08-06,0.168182373046875,860.1590354586111
19330,19330,2024-08-06 18:00:00,10714.0,0.009661046645607,103.50845376103344,2050.11569240899,0.1472102681527445,1963.3271790918425,0.146759033203125,8.186076718001314e-06,771.7,0.232,0.102,0.118,0.094,0.1617199125201277,0.0094558819096817,0.0048972791763016,14.5,14.2,14.5,13.5,771.7,34.0,25.8,2024-08-06,0.146759033203125,860.1590354586111
19331,19331,2024-08-06 18:30:00,10474.0,0.0097711057872833,102.34256201600584,2009.8446052781032,0.1665057969695598,1920.1616371784544,0.166717529296875,8.649249487087334e-06,771.5,0.23,0.102,0.118,0.094,0.160843895755747,0.0104799404986899,0.0054276475598289,15.1,14.2,14.5,13.5,771.5,33.6,27.0,2024-08-06,0.166717529296875,860.1590354586111
