,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS,Bare
670,670,2023-07-15 00:00:00,20968.0,0.0069059192521548,144.80331487918363,2714.3878184183422,0.1001463484380252,2660.479550749505,0.097686767578125,3.752335750317593e-06,724.2,0.002,0.027,0.073,0.025849649927531,0.0617668585060146,0.0316055847161643,31.4,24.9,18.1,724.2,18.9,22.4,2023-07-15,0.097686767578125,1194.8294954652522
671,671,2023-07-15 00:30:00,21072.0,0.0068888562306849,145.16197849299243,2717.80755121309,0.0993322505279846,2664.023254528628,0.096954345703125,3.738726726441163e-06,724.1,0.002,0.027,0.073,0.025849649927531,0.0617668585060146,0.0316055847161643,29.8,24.8,18.5,724.1,20.3,21.1,2023-07-15,0.096954345703125,1194.8294954652522
672,672,2023-07-15 01:00:00,21258.0,0.006858652486719,145.8012345626744,2746.360698548404,0.092705498204793,2691.453106362937,0.091644287109375,3.777911865861477e-06,724.3,0.001,0.027,0.074,0.0260757979712043,0.0615036413770863,0.0314708987135359,28.0,24.4,18.7,724.3,22.0,19.9,2023-07-15,0.091644287109375,1194.8294954652522
673,673,2023-07-15 01:30:00,20972.0,0.0069052606360404,144.81712605904042,2707.456874408135,0.1018101482390359,2657.17614066033,0.098297119140625,3.504188844635736e-06,724.4,0.001,0.027,0.074,0.0260757979712043,0.0615036413770863,0.0314708987135359,26.4,23.8,18.9,724.4,21.9,18.7,2023-07-15,0.098297119140625,1194.8294954652522
674,674,2023-07-15 02:00:00,20852.0,0.0069251014794493,144.40221604947757,2694.153196663761,0.1050566347243867,2649.6151253722496,0.099822998046875,3.112826048179612e-06,724.4,0.0,0.026,0.074,0.0257298408327086,0.061906306123807,0.0316769388954799,24.9,23.2,18.9,724.4,20.4,17.9,2023-07-15,0.099822998046875,1194.8294954652522
675,675,2023-07-15 02:30:00,22000.0,0.0067419986246324,148.32396974191326,2854.222580857213,0.0701434874549138,2797.5241174302864,0.073272705078125,3.75321713368302e-06,724.5,0.0,0.026,0.074,0.0257298408327086,0.061906306123807,0.0316769388954799,23.4,22.4,18.9,724.5,27.4,16.1,2023-07-15,0.073272705078125,1194.8294954652522
706,706,2023-07-15 18:00:00,20038.0,0.007064359854771,141.55564276990162,2680.03181266296,0.1085809168407946,2615.8093655109105,0.106903076171875,4.546602640737587e-06,726.4,0.0,0.024,0.07,0.0241333343810243,0.0637645041329617,0.0326277632698817,14.3,13.0,13.6,726.4,22.0,23.1,2023-07-15,0.106903076171875,1194.8294954652522
707,707,2023-07-15 18:30:00,20254.0,0.0070265897393587,142.3165485809714,2714.4319758368115,0.1001358078035244,2662.7261811490293,0.097198486328125,3.595993922391301e-06,726.2,0.001,0.024,0.07,0.0241333343810243,0.0637645041329617,0.0326277632698817,17.0,13.4,13.6,726.2,17.5,23.0,2023-07-15,0.097198486328125,1194.8294954652522
710,710,2023-07-15 20:00:00,20236.0,0.0070297141340515,142.25329521666626,2711.1394414574133,0.1009238158733956,2653.417821299997,0.099090576171875,4.02846051316676e-06,726.1,0.003,0.025,0.07,0.0244792915195199,0.063361839386241,0.0324217230879376,26.4,16.9,14.1,726.1,17.9,24.6,2023-07-15,0.099090576171875,1194.8294954652522
711,711,2023-07-15 20:30:00,20214.0,0.0070335385046439,142.17594733287342,2699.0630416171616,0.1038502910011876,2648.604739816778,0.100067138671875,3.527944288010473e-06,726.0,0.003,0.026,0.07,0.0248252486580155,0.0629591746395203,0.0322156829059936,28.6,18.5,14.5,726.0,15.5,24.8,2023-07-15,0.100067138671875,1194.8294954652522
712,712,2023-07-15 21:00:00,20266.0,0.0070245091225023,142.35870187663275,2703.46839229078,0.1027760904294607,2657.9233195474253,0.098175048828125,3.1732566053436487e-06,726.0,0.003,0.026,0.07,0.0248252486580155,0.0629591746395203,0.0322156829059936,30.2,19.9,14.9,726.0,14.1,24.6,2023-07-15,0.098175048828125,1194.8294954652522
713,713,2023-07-15 21:30:00,20430.0,0.0069962580026852,142.93355099485913,2725.7362449169505,0.0974618431878165,2678.855805947763,0.094085693359375,3.2407727033296844e-06,726.1,0.003,0.026,0.07,0.0248252486580155,0.0629591746395203,0.0322156829059936,31.5,21.2,15.5,726.1,14.4,24.6,2023-07-15,0.094085693359375,1194.8294954652522
714,714,2023-07-15 22:00:00,20916.0,0.0069144984470418,144.6236495183274,2791.919987546313,0.0827257082779535,2740.586560700887,0.082733154296875,3.4686699164609507e-06,726.0,0.003,0.026,0.07,0.0248252486580155,0.0629591746395203,0.0322156829059936,32.5,22.4,16.1,726.0,15.5,24.5,2023-07-15,0.082733154296875,1194.8294954652522
715,715,2023-07-15 22:30:00,20696.0,0.0069511521099166,143.86104406683555,2747.1642663165726,0.0925232967787655,2707.8159710342425,0.088592529296875,2.6909957790804527e-06,725.8,0.002,0.026,0.07,0.0248252486580155,0.0629591746395203,0.0322156829059936,33.1,23.4,16.7,725.8,12.8,23.4,2023-07-15,0.088592529296875,1194.8294954652522
716,716,2023-07-15 23:00:00,20698.0,0.0069508162649057,143.8679950510189,2729.588989364548,0.0965614834802292,2685.683966737557,0.092742919921875,3.0273702514655096e-06,725.7,0.002,0.026,0.071,0.0250513967016888,0.062695957510592,0.0320809969033652,33.5,24.3,17.3,725.7,14.4,23.4,2023-07-15,0.092742919921875,1194.8294954652522
717,717,2023-07-15 23:30:00,20752.0,0.0069417668100883,144.05554484295286,2737.575646647118,0.0947125212716049,2690.731742957684,0.091827392578125,3.2239545997957435e-06,725.6,0.002,0.026,0.071,0.0250513967016888,0.062695957510592,0.0320809969033652,33.4,24.9,17.8,725.6,15.6,23.1,2023-07-15,0.091827392578125,1194.8294954652522
718,718,2023-07-16 00:00:00,20868.0,0.0069224461490298,144.45760623795482,2774.016060033567,0.0865642539589347,2718.03803837702,0.086761474609375,3.813890814036549e-06,725.7,0.001,0.026,0.071,0.0250513967016888,0.062695957510592,0.0320809969033652,32.4,25.3,18.3,725.7,19.1,22.5,2023-07-16,0.086761474609375,1195.7020420610904
719,719,2023-07-16 00:30:00,20916.0,0.0069144984470418,144.6236495183274,2776.4806747474463,0.0860295929443575,2719.73002914404,0.086456298828125,3.8641257414630645e-06,725.6,0.001,0.026,0.071,0.0250513967016888,0.062695957510592,0.0320809969033652,30.6,25.3,18.7,725.6,20.5,21.5,2023-07-16,0.086456298828125,1195.7020420610904
720,720,2023-07-16 01:00:00,20778.0,0.0069374222525276,144.1457595630201,2758.4788265141715,0.0899819979199145,2703.7528212724287,0.089385986328125,3.748288429105797e-06,725.7,0.0,0.025,0.071,0.0247054395631932,0.0630986222573127,0.0322870370853092,28.7,24.8,19.0,725.7,21.7,20.0,2023-07-16,0.089385986328125,1195.7020420610904
758,758,2023-07-16 20:00:00,20550.0,0.0069758010641515,143.35271186831451,2727.0867867672387,0.0971456015415476,2674.633040298864,0.094879150390625,3.6317717634705233e-06,727.3,0.002,0.024,0.067,0.0234548902500045,0.0645541555197466,0.033031821277767,26.6,16.8,14.1,727.3,15.0,25.9,2023-07-16,0.094879150390625,1195.7020420610904
759,759,2023-07-16 20:30:00,20314.0,0.0070162050993581,142.52719038836062,2692.506162694506,0.1054634837635076,2643.9170598847263,0.100982666015625,3.4032769553683857e-06,727.3,0.002,0.024,0.067,0.0234548902500045,0.0645541555197466,0.033031821277767,28.9,18.3,14.5,727.3,13.9,26.1,2023-07-16,0.100982666015625,1195.7020420610904
760,760,2023-07-16 21:00:00,20280.0,0.007022084070579,142.4078649513432,2688.1002291152386,0.1065572524147696,2642.022549205593,0.101409912109375,3.2296861696116386e-06,727.3,0.002,0.024,0.068,0.0236810382936777,0.0642909383908183,0.0328971352751385,30.7,19.8,15.0,727.3,12.9,26.5,2023-07-16,0.101409912109375,1195.7020420610904
761,761,2023-07-16 21:30:00,21096.0,0.0068849365397668,145.24462124292245,2792.361060539548,0.0826324577785673,2754.2210211560305,0.080413818359375,2.5644166542750265e-06,727.2,0.002,0.024,0.068,0.0236810382936777,0.0642909383908183,0.0328971352751385,32.1,21.2,15.5,727.2,10.3,26.4,2023-07-16,0.080413818359375,1195.7020420610904
762,762,2023-07-16 22:00:00,20824.0,0.0069297556694381,144.30523206037958,2762.578467876589,0.0890722009704836,2716.7316764642287,0.087005615234375,3.1251325375254985e-06,727.1,0.002,0.024,0.068,0.0236810382936777,0.0642909383908183,0.0328971352751385,33.1,22.5,16.1,727.1,13.2,25.5,2023-07-16,0.087005615234375,1195.7020420610904
763,763,2023-07-16 22:30:00,20432.0,0.0069959155776059,142.9405470816451,2696.70820985266,0.1044276633505786,2659.777024142083,0.097808837890625,2.5713089491505453e-06,726.8,0.002,0.025,0.068,0.0240269954321734,0.0638882736440976,0.0326910950931945,33.8,23.5,16.7,726.8,10.8,25.6,2023-07-16,0.097808837890625,1195.7020420610904
764,764,2023-07-16 23:00:00,20914.0,0.0069148290549192,144.61673485458036,2761.923784325824,0.0892171009658243,2717.9431988600336,0.086761474609375,2.996586855623483e-06,726.7,0.001,0.025,0.069,0.0242531434758466,0.0636250565151693,0.0325564090905661,34.2,24.4,17.3,726.7,12.8,25.3,2023-07-16,0.086761474609375,1195.7020420610904
765,765,2023-07-16 23:30:00,20540.0,0.0069774989590444,143.31782861877304,2721.8001025955045,0.098387426321754,2671.282335898405,0.095550537109375,3.5021165135650163e-06,726.8,0.001,0.025,0.069,0.0242531434758466,0.0636250565151693,0.0325564090905661,34.3,25.1,17.9,726.8,15.3,24.9,2023-07-16,0.095550537109375,1195.7020420610904
766,766,2023-07-17 00:00:00,20594.0,0.0069683450243485,143.5060974314332,2779.0969110379315,0.0854642465511539,2724.394563083701,0.085601806640625,3.718280961661641e-06,726.8,0.001,0.024,0.069,0.023907186337351,0.06402772126189,0.0327624492725101,33.5,25.6,18.4,726.8,16.9,24.2,2023-07-17,0.085601806640625,1204.2162557557253
