,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,BaroPress,airRH,airT,date,CRNS,Bare
18046,18046,2024-07-11 00:00:00,9750.0,0.0101273936708366,98.74208829065748,2163.884193930432,0.1243033271934712,2063.536050000492,0.103790283203125,9.005410696193594e-06,794.5,0.087,0.078,0.0828099328648285,0.0295657380195874,0.0170968097880722,17.7,15.5,794.5,47.5,21.6,2024-07-11,0.103790283203125,1077.7727756171157
18047,18047,2024-07-11 00:30:00,9612.0,0.010199834356035,98.04080783020916,2129.6906566017024,0.1361286513475258,2032.849028024199,0.112457275390625,8.821921684558211e-06,794.4,0.087,0.078,0.0828099328648285,0.0295657380195874,0.0170968097880722,17.4,15.5,794.4,47.9,21.1,2024-07-11,0.112457275390625,1077.7727756171157
18048,18048,2024-07-11 01:00:00,9888.0,0.0100564748338641,99.43842315724842,2195.438086958369,0.1141932899236755,2094.266678814146,0.095733642578125,8.946065055689369e-06,794.6,0.087,0.077,0.0823443698498094,0.0289950898746392,0.0167668243575163,17.1,15.5,794.6,50.3,20.5,2024-07-11,0.095733642578125,1077.7727756171157
18049,18049,2024-07-11 01:30:00,9504.0,0.0102576242482777,97.48846085563152,2133.2644254090183,0.134847229492135,2018.8045477384128,0.116607666015625,1.0499418413956894e-05,795.0,0.087,0.077,0.0823443698498094,0.0289950898746392,0.0167668243575163,16.8,15.5,795.0,68.4,18.0,2024-07-11,0.116607666015625,1077.7727756171157
18050,18050,2024-07-11 02:00:00,9804.0,0.0100994645405847,99.0151503558925,2199.5936423322287,0.1129147563159505,2081.0143210158744,0.099151611328125,1.0552129966305528e-05,794.9,0.087,0.077,0.0823443698498094,0.0289950898746392,0.0167668243575163,16.4,15.4,794.9,74.3,16.7,2024-07-11,0.099151611328125,1077.7727756171157
18051,18051,2024-07-11 02:30:00,10028.0,0.0099860293315676,100.13990213696036,2234.32727494102,0.1026737264134633,2122.3732830158906,0.088897705078125,9.76841392265136e-06,794.5,0.086,0.077,0.0818099328648285,0.0283400217866843,0.0163880218906007,16.1,15.3,794.5,64.4,17.8,2024-07-11,0.088897705078125,1077.7727756171157
18052,18052,2024-07-11 03:00:00,9550.0,0.010232890201933,97.72410142846032,2130.238360665785,0.1359315479339768,2025.6250426562208,0.114593505859375,9.563880906129632e-06,794.8,0.086,0.077,0.0818099328648285,0.0283400217866843,0.0163880218906007,15.9,15.2,794.8,69.4,16.2,2024-07-11,0.114593505859375,1077.7727756171157
18053,18053,2024-07-11 03:30:00,9472.0,0.0102749367065848,97.32420048477152,2119.103291915764,0.1399906258652266,2014.9380444855497,0.117828369140625,9.57342618450081e-06,795.2,0.087,0.077,0.0823443698498094,0.0289950898746392,0.0167668243575163,15.6,15.2,795.2,77.5,14.4,2024-07-11,0.117828369140625,1077.7727756171157
18054,18054,2024-07-11 04:00:00,9552.0,0.0102318188633757,97.73433378296492,2134.792408191549,0.1343027046565696,2034.915979559924,0.111846923828125,9.089139363769874e-06,795.4,0.087,0.077,0.0823443698498094,0.0289950898746392,0.0167668243575163,15.3,15.1,795.4,80.7,12.9,2024-07-11,0.111846923828125,1077.7727756171157
18055,18055,2024-07-11 04:30:00,9504.0,0.0102576242482777,97.48846085563152,2125.060021637132,0.1378055632204634,2029.1158218650369,0.113555908203125,8.756249500784625e-06,795.7,0.087,0.077,0.0823443698498094,0.0289950898746392,0.0167668243575163,15.0,15.0,795.7,81.2,12.2,2024-07-11,0.113555908203125,1077.7727756171157
18056,18056,2024-07-11 05:00:00,9312.0,0.0103628334036209,96.49870465451856,2084.241227787729,0.1534455269746805,1991.0196110536824,0.125335693359375,8.670563696266492e-06,795.9,0.086,0.077,0.0818099328648285,0.0283400217866843,0.0163880218906007,14.7,14.9,795.9,84.0,11.5,2024-07-11,0.125335693359375,1077.7727756171157
18057,18057,2024-07-11 05:30:00,9342.0,0.0103461809207366,96.65402216152208,2087.4643583710704,0.1521515077939054,1997.433978357335,0.123260498046875,8.346855403374703e-06,795.9,0.086,0.077,0.0818099328648285,0.0283400217866843,0.0163880218906007,14.4,14.8,795.9,84.5,10.8,2024-07-11,0.123260498046875,1077.7727756171157
18058,18058,2024-07-11 06:00:00,9278.0,0.0103818037708549,96.32237538599222,2071.5228266250733,0.1586573809817225,1985.1942975844947,0.127227783203125,8.05299746054895e-06,796.0,0.087,0.077,0.0823443698498094,0.0289950898746392,0.0167668243575163,14.2,14.7,796.0,86.3,9.9,2024-07-11,0.127227783203125,1077.7727756171157
18059,18059,2024-07-11 06:30:00,9788.0,0.0101077157384811,98.93432164825307,2183.4673423949525,0.1179436377238228,2095.842736926872,0.095367431640625,7.74236468437449e-06,796.1,0.086,0.077,0.0818099328648285,0.0283400217866843,0.0163880218906007,13.9,14.6,796.1,86.2,9.3,2024-07-11,0.095367431640625,1077.7727756171157
18060,18060,2024-07-11 07:00:00,9288.0,0.0103762134394115,96.37427042525408,2070.889451513204,0.1589214337507018,1987.3339767153248,0.126556396484375,7.785926399374182e-06,796.0,0.086,0.077,0.0818099328648285,0.0283400217866843,0.0163880218906007,13.7,14.5,796.0,89.5,8.8,2024-07-11,0.126556396484375,1077.7727756171157
18061,18061,2024-07-11 07:30:00,9648.0,0.0101807870296921,98.2242332624694,2146.8932489612093,0.1300598508441335,2062.8605248545887,0.103973388671875,7.543707094010667e-06,795.9,0.085,0.078,0.0817410588948666,0.0282556018436775,0.0163392048542409,13.5,14.3,795.9,88.4,8.5,2024-07-11,0.103973388671875,1077.7727756171157
18062,18062,2024-07-11 08:00:00,9252.0,0.0103963810258634,96.1873172512884,2060.2796097830665,0.1634101781245003,1981.0724358446485,0.128631591796875,7.40406807362764e-06,796.1,0.085,0.078,0.0817410588948666,0.0282556018436775,0.0163392048542409,13.3,14.2,796.1,89.6,8.0,2024-07-11,0.128631591796875,1077.7727756171157
18063,18063,2024-07-11 08:30:00,9434.0,0.0102956095497884,97.12878049270464,2098.450827980591,0.1478192959990313,2018.5732920254493,0.116729736328125,7.328015458456087e-06,796.0,0.085,0.078,0.0817410588948666,0.0282556018436775,0.0163392048542409,13.1,14.1,796.0,91.0,7.6,2024-07-11,0.116729736328125,1077.7727756171157
18064,18064,2024-07-11 09:00:00,9622.0,0.0101945327109157,98.09179374443104,2136.726790075016,0.1336162089632869,2055.8046431084263,0.105926513671875,7.2894001975460675e-06,795.8,0.085,0.078,0.0817410588948666,0.0282556018436775,0.0163392048542409,12.9,14.0,795.8,91.7,7.4,2024-07-11,0.105926513671875,1077.7727756171157
