,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,BaroPress,airRH,airT,date,CRNS,Bare
2216,2216,2023-08-16 05:00:00,12126.0,0.0090811577107205,110.11811840019789,2736.760174120991,0.0355279978986088,2627.599406212893,0.048126220703125,7.693317699882394e-06,798.4,0.074,0.074,0.0466690475583121,0.0329999999999999,22.3,798.4,61.9,14.5,2023-08-16,0.048126220703125,964.9382684341645
2217,2217,2023-08-16 05:30:00,12134.0,0.009078163593359,110.1544370418187,2739.1482291745306,0.0351836869875536,2629.332937076303,0.047943115234375,7.734343915376638e-06,798.4,0.073,0.073,0.045254833995939,0.0319999999999999,22.0,798.4,61.1,14.8,2023-08-16,0.047943115234375,964.9382684341645
2218,2218,2023-08-16 06:00:00,12008.0,0.0091256679092623,109.5810202544218,2700.363753490575,0.0409229835208836,2595.749306749895,0.052154541015625,7.463373154850359e-06,798.6,0.073,0.073,0.045254833995939,0.0319999999999999,21.7,798.6,62.3,13.9,2023-08-16,0.052154541015625,964.9382684341645
2219,2219,2023-08-16 06:30:00,12104.0,0.0090894068337574,110.01818031580054,2726.8245378037186,0.0369730620963097,2621.577123979621,0.048858642578125,7.434555955268132e-06,798.6,0.073,0.073,0.045254833995939,0.0319999999999999,21.4,798.6,64.0,13.4,2023-08-16,0.048858642578125,964.9382684341645
2220,2220,2023-08-16 07:00:00,11948.0,0.0091485526762234,109.30690737551768,2690.234415520478,0.0424753819503478,2587.789447893961,0.053192138671875,7.33107955001761e-06,798.6,0.073,0.073,0.045254833995939,0.0319999999999999,21.1,798.6,63.5,13.3,2023-08-16,0.053192138671875,964.9382684341645
2221,2221,2023-08-16 07:30:00,12114.0,0.0090856544466786,110.06361796706484,2729.7116792547627,0.0365510509260275,2625.653261215881,0.048370361328125,7.339155439619696e-06,798.7,0.072,0.072,0.0438406204335659,0.0309999999999999,20.9,798.7,66.8,12.5,2023-08-16,0.048370361328125,964.9382684341645
2222,2222,2023-08-16 08:00:00,11956.0,0.0091454914237782,109.34349546269316,2685.7099778832853,0.043176220934814,2583.881625911536,0.053741455078125,7.297974500027042e-06,798.7,0.072,0.072,0.0438406204335659,0.0309999999999999,20.6,798.7,68.1,12.1,2023-08-16,0.053741455078125,964.9382684341645
2223,2223,2023-08-16 08:30:00,12044.0,0.0091120192084483,109.7451593465516,2704.6092395948995,0.0402790802000483,2602.8998245632765,0.051239013671875,7.236189683507397e-06,798.7,0.072,0.072,0.0438406204335659,0.0309999999999999,20.4,798.7,68.8,11.8,2023-08-16,0.051239013671875,964.9382684341645
2224,2224,2023-08-16 09:00:00,12102.0,0.0090901578692335,110.00909053346456,2722.14715955378,0.037660436457055,2620.5130600842576,0.049041748046875,7.182230769263111e-06,798.7,0.071,0.071,0.0424264068711928,0.0299999999999999,20.2,798.7,71.8,11.0,2023-08-16,0.049041748046875,964.9382684341645
2225,2225,2023-08-16 09:30:00,12034.0,0.0091158043700822,109.69958978957033,2704.5309132294065,0.0402909240556045,2602.632177493639,0.051300048828125,7.250404575239092e-06,798.8,0.071,0.071,0.0424264068711928,0.0299999999999999,20.0,798.8,73.4,10.8,2023-08-16,0.051300048828125,964.9382684341645
2226,2226,2023-08-16 10:00:00,12006.0,0.0091264279698898,109.57189420649804,2696.711498419306,0.0414800881078675,2594.687420600025,0.052337646484375,7.2815506000110625e-06,798.7,0.072,0.072,0.0438406204335659,0.0309999999999999,19.8,798.7,75.6,10.4,2023-08-16,0.052337646484375,964.9382684341645
