Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
10779,2024-02-10 14:30:00,15517.999999999998,0.0080275334929966,124.57126474432216,1412.883538665193,1.2067242817429331,1400.783059196006,2.141143798828125,1.5996977666314055e-06,681.7,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.5,681.7,87.8,-13.4
10780,2024-02-10 15:00:00,15552.000000000002,0.0080187537387448,124.70765814495915,1409.8932336255057,1.2286355158866815,1397.080530034168,2.395538330078125,1.69834367903384e-06,681.8,0.191,0.132,0.142,0.096,0.1537290362821556,0.09993238108116703,0.04846657020070206,0.2,0.5,0.7,1.4,681.8,86.3,-12.4
10781,2024-02-10 15:30:00,15650.0,0.0079936076697743,125.09996003196804,1417.715563333336,1.1727054204585818,1404.3134676465118,1.943267822265625,1.7673187851666398e-06,681.9,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.5,681.9,78.9,-10.7
10782,2024-02-10 16:00:00,15684.0,0.007984938640374,125.23577763562616,1422.146679354688,1.142925267283487,1408.4221432975762,1.754058837890625,1.8045589267478576e-06,682.0,0.191,0.132,0.142,0.096,0.1537290362821556,0.09993238108116703,0.04846657020070206,0.2,0.5,0.7,1.6,682.0,77.0,-10.1
10783,2024-02-10 16:30:00,15741.999999999998,0.00797021516763,125.46712716883256,1426.671244811786,1.1138227156836895,1413.6305393898524,1.561614990234375,1.708328577528153e-06,682.0,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.5,682.0,62.8,-8.1
10784,2024-02-10 17:00:00,15878.0,0.0079360080777175,126.00793625799923,1422.8569323413824,1.138271733137051,1411.7161554835263,1.627105712890625,1.4614175927045637e-06,681.8,0.191,0.132,0.142,0.096,0.1537290362821556,0.09993238108116703,0.04846657020070206,0.2,0.5,0.8,1.5,681.8,51.4,-7.5
10785,2024-02-10 17:30:00,15885.999999999998,0.0079340095866061,126.03967629282457,1425.8141924012032,1.1192380478749286,1412.4274370834676,1.602142333984375,1.7551547764199725e-06,681.8,0.191,0.132,0.142,0.096,0.1537290362821556,0.09993238108116703,0.04846657020070206,0.2,0.5,0.8,1.5,681.8,65.0,-8.2
10786,2024-02-10 18:00:00,15599.999999999998,0.0080064076902543,124.89995996796796,1400.72588105312,1.3002802936399152,1386.7321112208078,3.558807373046875,1.8687379032091864e-06,681.9,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.7,1.5,681.9,66.7,-7.7
10787,2024-02-10 18:30:00,15845.999999999998,0.0079440171707892,125.88089608832628,1418.158773683142,1.1696673668212425,1403.828544771564,1.968292236328125,1.890363395601516e-06,681.7,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.6,681.7,66.0,-7.4
10788,2024-02-10 19:00:00,15694.0,0.0079823942887049,125.27569596693526,1403.775207020251,1.2756639534110017,1389.3183558676094,3.176971435546875,1.926984298875611e-06,681.6,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.5,681.6,69.8,-7.9
