half_hour,datetime,lat,long,bare_nc_cph,swc,bwe,site,SiteName
2024-03-08 05:30:00,2024-03-08 05:30:00,39.17225,-107.24512,928.2727821497492,0.0,0.0,279,Crys 2
2024-03-08 06:00:00,2024-03-08 06:00:00,39.17225,-107.24512,951.2787263396752,0.0,0.0,279,Crys 2
2024-03-08 06:30:00,2024-03-08 06:30:00,39.17225,-107.24512,937.9782539115243,0.0,0.0,279,Crys 2
2024-03-08 07:00:00,2024-03-08 07:00:00,39.17225,-107.24512,930.6572373647493,0.0,0.0,279,Crys 2
2024-03-08 07:30:00,2024-03-08 07:30:00,39.17225,-107.24512,968.5945456492631,0.0,0.0,279,Crys 2
2024-03-08 09:00:00,2024-03-08 09:00:00,39.17225,-107.24512,943.8954472119349,0.0,0.0,279,Crys 2
2024-03-08 10:30:00,2024-03-08 10:30:00,39.17225,-107.24512,934.0610231014512,0.0,0.0,279,Crys 2
2024-03-08 11:00:00,2024-03-08 11:00:00,39.17225,-107.24512,954.8934672098616,0.0,0.0,279,Crys 2
2024-03-08 11:30:00,2024-03-08 11:30:00,39.17225,-107.24512,927.0823232895684,0.0,0.0,279,Crys 2
2024-03-08 12:00:00,2024-03-08 12:00:00,39.17225,-107.24512,961.5756330762324,0.0,0.0,279,Crys 2
2024-03-08 12:30:00,2024-03-08 12:30:00,39.17225,-107.24512,950.8293340862933,0.0,0.0,279,Crys 2
2024-03-08 13:00:00,2024-03-08 13:00:00,39.17225,-107.24512,955.9041503073028,0.0,0.0,279,Crys 2
2024-03-08 14:30:00,2024-03-08 14:30:00,39.17225,-107.24512,920.7201670707024,0.0,0.0,279,Crys 2
2024-03-08 15:00:00,2024-03-08 15:00:00,39.17225,-107.24512,948.9934628318404,0.0,0.0,279,Crys 2
2024-03-08 15:30:00,2024-03-08 15:30:00,39.17225,-107.24512,925.5955006997931,0.0,0.0,279,Crys 2
2024-03-08 16:00:00,2024-03-08 16:00:00,39.17225,-107.24512,935.834692886377,0.0,0.0,279,Crys 2
2024-03-08 16:30:00,2024-03-08 16:30:00,39.17225,-107.24512,970.4442969656257,0.0,0.0,279,Crys 2
2024-03-08 17:00:00,2024-03-08 17:00:00,39.17225,-107.24512,950.3405170757632,0.0,0.0,279,Crys 2
2024-03-08 17:30:00,2024-03-08 17:30:00,39.17225,-107.24512,962.534605703971,0.0,0.0,279,Crys 2
2024-03-08 18:00:00,2024-03-08 18:00:00,39.17225,-107.24512,943.5653254550682,0.0,0.0,279,Crys 2
2024-03-08 18:30:00,2024-03-08 18:30:00,39.17225,-107.24512,949.6414713974306,0.0,0.0,279,Crys 2
2024-03-08 19:00:00,2024-03-08 19:00:00,39.17225,-107.24512,963.2035502080718,0.0,0.0,279,Crys 2
2024-03-08 19:30:00,2024-03-08 19:30:00,39.17225,-107.24512,943.4651161976595,0.0,0.0,279,Crys 2
2024-03-08 20:00:00,2024-03-08 20:00:00,39.17225,-107.24512,992.1065871316512,0.0,0.0,279,Crys 2
2024-03-08 20:30:00,2024-03-08 20:30:00,39.17225,-107.24512,979.6285781211737,0.0,0.0,279,Crys 2
2024-03-08 21:00:00,2024-03-08 21:00:00,39.17225,-107.24512,920.8503734611432,0.0,0.0,279,Crys 2
2024-03-08 21:30:00,2024-03-08 21:30:00,39.17225,-107.24512,954.5498928010371,0.0,0.0,279,Crys 2
2024-03-08 22:00:00,2024-03-08 22:00:00,39.17225,-107.24512,968.8340356134386,0.0,0.0,279,Crys 2
2024-03-08 22:30:00,2024-03-08 22:30:00,39.17225,-107.24512,948.247142890113,0.0,0.0,279,Crys 2
2024-03-09 00:00:00,2024-03-09 00:00:00,39.17225,-107.24512,951.3413727765327,0.0,0.0,279,Crys 2
2024-03-09 00:30:00,2024-03-09 00:30:00,39.17225,-107.24512,950.0903749039185,0.0,0.0,279,Crys 2
2024-03-09 01:00:00,2024-03-09 01:00:00,39.17225,-107.24512,944.3103185430559,0.0,0.0,279,Crys 2
2024-03-09 01:30:00,2024-03-09 01:30:00,39.17225,-107.24512,951.0171875316462,0.0,0.0,279,Crys 2
2024-03-09 02:00:00,2024-03-09 02:00:00,39.17225,-107.24512,966.4998549063538,0.0,0.0,279,Crys 2
2024-03-09 02:30:00,2024-03-09 02:30:00,39.17225,-107.24512,912.520622178985,0.0,0.0,279,Crys 2
2024-03-09 03:00:00,2024-03-09 03:00:00,39.17225,-107.24512,951.5471413738586,0.0,0.0,279,Crys 2
2024-03-09 03:30:00,2024-03-09 03:30:00,39.17225,-107.24512,961.7151108620692,0.0,0.0,279,Crys 2
2024-03-09 04:00:00,2024-03-09 04:00:00,39.17225,-107.24512,941.7686447648184,0.0,0.0,279,Crys 2
2024-03-09 04:30:00,2024-03-09 04:30:00,39.17225,-107.24512,918.5832095485473,0.0,0.0,279,Crys 2
2024-03-09 05:00:00,2024-03-09 05:00:00,39.17225,-107.24512,921.419952817252,0.0,0.0,279,Crys 2
2024-03-09 05:30:00,2024-03-09 05:30:00,39.17225,-107.24512,967.6650431639799,0.0,0.0,279,Crys 2
2024-03-09 06:00:00,2024-03-09 06:00:00,39.17225,-107.24512,955.8632599046381,0.0,0.0,279,Crys 2
2024-03-09 06:30:00,2024-03-09 06:30:00,39.17225,-107.24512,953.7896163157263,0.0,0.0,279,Crys 2
2024-03-09 07:00:00,2024-03-09 07:00:00,39.17225,-107.24512,971.2472212875672,0.0,0.0,279,Crys 2
2024-03-09 07:30:00,2024-03-09 07:30:00,39.17225,-107.24512,953.6425492247785,0.0,0.0,279,Crys 2
2024-03-09 08:00:00,2024-03-09 08:00:00,39.17225,-107.24512,977.5952562833462,0.0,0.0,279,Crys 2
2024-03-09 08:30:00,2024-03-09 08:30:00,39.17225,-107.24512,960.2344460617535,0.0,0.0,279,Crys 2
2024-03-09 09:00:00,2024-03-09 09:00:00,39.17225,-107.24512,994.9205847959805,0.0,0.0,279,Crys 2
2024-03-09 09:30:00,2024-03-09 09:30:00,39.17225,-107.24512,953.2064607355818,0.0,0.0,279,Crys 2
2024-03-09 10:00:00,2024-03-09 10:00:00,39.17225,-107.24512,956.2726635498883,0.0,0.0,279,Crys 2
2024-03-09 10:30:00,2024-03-09 10:30:00,39.17225,-107.24512,990.2728923618741,0.0,0.0,279,Crys 2
2024-03-09 11:00:00,2024-03-09 11:00:00,39.17225,-107.24512,971.8601123112198,0.0,0.0,279,Crys 2
2024-03-09 12:30:00,2024-03-09 12:30:00,39.17225,-107.24512,934.0018720324042,0.0,0.0,279,Crys 2
2024-03-09 13:00:00,2024-03-09 13:00:00,39.17225,-107.24512,957.4310495970316,0.0,0.0,279,Crys 2
2024-03-09 14:30:00,2024-03-09 14:30:00,39.17225,-107.24512,936.7147849450257,0.0,0.0,279,Crys 2
2024-03-09 15:00:00,2024-03-09 15:00:00,39.17225,-107.24512,949.7970808509224,0.0,0.0,279,Crys 2
2024-03-09 15:30:00,2024-03-09 15:30:00,39.17225,-107.24512,927.2953594797866,0.0,0.0,279,Crys 2
2024-03-09 16:00:00,2024-03-09 16:00:00,39.17225,-107.24512,963.0547928001303,0.0,0.0,279,Crys 2
2024-03-09 16:30:00,2024-03-09 16:30:00,39.17225,-107.24512,955.9385631346415,0.0,0.0,279,Crys 2
2024-03-09 17:00:00,2024-03-09 17:00:00,39.17225,-107.24512,938.1176697167032,0.0,0.0,279,Crys 2
2024-03-09 17:30:00,2024-03-09 17:30:00,39.17225,-107.24512,945.7171962071243,0.0,0.0,279,Crys 2
2024-03-09 18:00:00,2024-03-09 18:00:00,39.17225,-107.24512,941.0333926311054,0.0,0.0,279,Crys 2
2024-03-09 18:30:00,2024-03-09 18:30:00,39.17225,-107.24512,974.4266078684892,0.0,0.0,279,Crys 2
2024-03-09 19:00:00,2024-03-09 19:00:00,39.17225,-107.24512,914.046705090856,0.0,0.0,279,Crys 2
2024-03-09 19:30:00,2024-03-09 19:30:00,39.17225,-107.24512,946.6750682501226,0.0,0.0,279,Crys 2
2024-03-09 20:00:00,2024-03-09 20:00:00,39.17225,-107.24512,977.322114326837,0.0,0.0,279,Crys 2
2024-03-09 20:30:00,2024-03-09 20:30:00,39.17225,-107.24512,939.5865871422412,0.0,0.0,279,Crys 2
2024-03-09 21:00:00,2024-03-09 21:00:00,39.17225,-107.24512,979.9841292126534,0.0,0.0,279,Crys 2
