,Date,Crys 1,Crys 2,Crys 3,Crys 6,Fry 4,Fry 5,Fry 6,RF 1,RF 2,RF 3,RF5,RF 6,RF 7,RF 8,RF 9
226,11/13/2023,1.0346,1.0346,0.0004,0,0,0,0,0,0,0,0,0,0,0,0
227,11/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,11/15/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,11/16/2023,2.0038,2.0038,2.2203,1.6894,0,0.1364,0.36159998,0.7611,0.78859997,0.2069,0.44149998,0.61719996,0.6371,1.0408,0.9596
230,11/17/2023,5.7957,5.7957,6.0962996,4.1868997,3.1209998,2.8831,3.1106,3.3658,3.1111,2.5812,3.0368998,2.2519,2.7654998,3.5121999,3.4814
231,11/18/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,11/19/2023,4.6033998,4.6033998,7.2827997,6.3336997,3.5444,4.6428,5.9965,5.0004,5.2183,6.2051,5.8573,4.8072,5.049,4.6994,4.9891996
233,11/20/2023,8.9874,8.9874,8.5226,4.4681997,4.0895,1.9698,1.6696999,5.0327,5.5055,5.9543,1.495,0.6361,0.59599996,2.6,3.0377998
234,11/21/2023,1.6870999,1.6870999,1.1258,0.2534,4.0387,1.504,0.048299998,3.9081998,3.8274999,1.7997999,0.1654,0.058199998,0.0168,0.72789997,1.1112
235,11/22/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,11/23/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,11/24/2023,1.0899999,1.0899999,2.2972,2.0024,1.2501,0.5954,0.3254,0.67289996,0.5936,0.30879998,0.4098,0.1384,0.355,1.0483999,1.0927
238,11/25/2023,10.6327,10.6327,10.1945,5.5477,3.7972999,3.2779,3.4970999,5.9638996,6.2879996,6.2881,3.2477,1.5575,2.0918999,3.4434,4.2741
239,11/26/2023,2.8983998,2.8983998,2.5788999,1.7960999,0.3746,0.8441,0.7614,1.2583,0.91899997,1.3368,0.7141,0.1995,0.46409997,0.5855,0.8831
240,11/27/2023,0,0,0,0,1.3012999,0.022799999,0,0,0,0,0,0,0,0,0
241,11/28/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,11/29/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,11/30/2023,0,0,0,0,0.0311,0,0,0,0,0,0,0,0,0,0
244,12/1/2023,7.3222,7.3222,8.6129,4.6158,5.3989997,4.3831,3.6878,7.1626,7.9459,9.1726,3.7661,2.8026,3.2344,2.3539999,2.8628
245,12/2/2023,6.9575,6.9575,7.593,6.4114,3.2953,4.2051,5.3613997,5.7651997,5.9691997,5.9958997,5.4273996,5.4832997,5.6145997,6.7468,6.5098996
246,12/3/2023,7.7608,7.7608,9.3095,4.8308997,6.7563996,3.9283998,1.314,7.7022996,7.6439,5.0660996,1.36,0.56479996,1.1201,2.6183,2.7121
247,12/4/2023,6.7921,6.7921,8.620399,5.5639,13.158999,9.9102,8.1241,12.2279,11.2478,7.587,7.2072,2.7821999,3.9083,3.2059999,4.1425
248,12/5/2023,0,0,0,0,1.8912,0.71989995,0,1.1402,0.8283,0.0039,0,0,0,0,0
249,12/6/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,12/7/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,12/8/2023,2.337,2.337,2.3485,2.2854,2.7003999,2.9003,3.3319,3.4629998,4.1348,5.6267,3.1109,2.0595,2.5101,2.1571,2.2883
252,12/9/2023,10.036699,10.036699,11.639,6.4507,5.3645997,4.2602997,3.5335999,7.0548997,7.1106997,6.7693,3.3258998,2.026,2.523,3.9975,4.2148
253,12/10/2023,0,0,0,0,0,0,0,0,0,0.069699995,0,0,0,0,0
254,12/11/2023,1.6108999,1.6108999,1.6824,0.3545,2.4633,0.94579995,0,2.2393,2.1697,1.0654,0,0,0.0072,0,0
255,12/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,12/13/2023,1.4024999,1.4024999,1.3361,0.11229999,0,0,0,0.14469999,0.2311,0,0,0,0,0,0
257,12/14/2023,0,0,0.16309999,0.0015,0,0,0,0.6403,0.9697,0.6254,0,0,0,0,0
258,12/15/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,12/16/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,12/17/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,12/18/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,12/19/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,12/20/2023,1.0294,1.0294,0.29979998,0,1.3748,0.22479999,0,0.0056,0,0,0,0,0,0,0
264,12/21/2023,0,0,0,0,0,0,0,0.0148,0.236,0.4493,0,0,0,0,0
265,12/22/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,12/23/2023,0.56119996,0.56119996,1.2955999,0.6313,0.3593,0.20979999,0,0.70409995,0.76199996,0.42139998,0,0.0975,0.0308,0,0
267,12/24/2023,6.9867997,6.9867997,7.1189,4.5355997,4.2474,3.7429,3.8337,4.3739,4.4515,5.0512,3.9050999,3.9241998,4.0024,3.27,3.883
268,12/25/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,12/26/2023,0,0,0,0,0.2956,0.4227,0.48529997,0.2497,0.042099997,0.30719998,0.35869998,0,0,0,0
270,12/27/2023,0,0,0,0,1.7119,0.62619996,0.3822,1.5518999,1.4268999,0.5528,0.2216,0.0015,0,0,0
271,12/28/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,12/29/2023,1.0288,1.0288,0.1652,0,0,0,0,0,0,0,0,0,0,0,0
273,12/30/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,12/31/2023,0,0,0,0,1.6229999,0.4411,0,0.4127,0.0277,0,0,0,0,0,0
275,1/1/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,1/2/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,1/3/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,1/4/2024,1.288,1.288,0.1381,0,0,0,0,0.2104,0.0804,0,0,0,0,0,0
279,1/5/2024,0.4549,0.4549,0.96999997,0.4781,0.3487,0.1806,0.0893,1.2296,1.6504999,2.1042,0.0713,0,0.0246,0,0
280,1/6/2024,0.4996,0.4996,0.6791,0.4206,1.8195,1.1015999,0.72279996,1.7293999,2.0612,2.6148,0.8023,0.4712,0.5272,0.9583,0.89989996
281,1/7/2024,0,0,0,0,1.293,0.2092,0,0.0012,0,0,0,0,0,0,0
