,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS
19137,19137,2024-08-02 17:30:00,18812.0,0.0072909230557516,137.15684452479942,2611.9779791557166,0.1029447591264278,2547.0715277680497,0.102752685546875,4.719032460965463e-06,731.3,0.012,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,13.5,13.2,13.8,731.3,19.6,25.8,2024-08-02,0.102752685546875
19138,19138,2024-08-02 18:00:00,18652.0,0.0073221276625258,136.57232516143233,2589.9424497759314,0.1085957518178413,2528.07750052493,0.106903076171875,4.531693384059567e-06,731.2,0.012,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,14.5,13.5,13.8,731.2,18.0,26.6,2024-08-02,0.106903076171875
19139,19139,2024-08-02 18:30:00,18708.0,0.0073111605238918,136.77719108096937,2612.7492556924103,0.1027507569522476,2544.830000986085,0.103179931640625,4.942428278335619e-06,731.2,0.012,0.032,0.056,0.0237349188775635,0.0642282259641927,0.0328650458511268,17.3,13.8,13.8,731.2,19.2,27.0,2024-08-02,0.103179931640625
19143,19143,2024-08-02 20:30:00,18850.0,0.0072835704072922,137.2953021774598,2598.5959824246543,0.106351303039294,2544.1807301078807,0.103363037109375,3.960763658780276e-06,730.4,0.014,0.034,0.056,0.0244268331545547,0.0634228964707513,0.0324529654872387,30.8,20.4,15.4,730.4,14.4,28.2,2024-08-02,0.103363037109375
19144,19144,2024-08-02 21:00:00,18524.0,0.0073473818962855,136.10290224679267,2561.685972124602,0.116162100558222,2508.0436246907248,0.111419677734375,3.960763658780276e-06,730.1,0.014,0.034,0.058,0.0248791292419013,0.0628964622128947,0.0321835934819818,32.4,22.3,16.0,730.1,14.4,28.2,2024-08-02,0.111419677734375
19145,19145,2024-08-02 21:30:00,18724.0,0.0073080360961748,136.8356678647786,2570.428683298886,0.1137812227165041,2518.067955053629,0.109100341796875,3.85074244603638e-06,729.8,0.014,0.034,0.058,0.0248791292419013,0.0628964622128947,0.0321835934819818,32.7,23.9,17.0,729.8,14.0,28.2,2024-08-02,0.109100341796875
19146,19146,2024-08-02 22:00:00,18720.0,0.0073088168275585,136.82105101189657,2567.0594725715646,0.1146944414945863,2513.747106867302,0.110076904296875,3.927467599518291e-06,729.6,0.012,0.034,0.058,0.0248791292419013,0.0628964622128947,0.0321835934819818,31.4,24.8,17.6,729.6,15.6,26.6,2024-08-02,0.110076904296875
19147,19147,2024-08-02 22:30:00,19220.0,0.0072131225080638,138.63621460498698,2629.685778347905,0.0985531549245856,2575.072797464318,0.096832275390625,3.927467599518291e-06,729.3,0.012,0.034,0.058,0.0248791292419013,0.0628964622128947,0.0321835934819818,30.5,25.1,18.2,729.3,15.6,26.6,2024-08-02,0.096832275390625
19150,19150,2024-08-03 00:00:00,18872.0,0.0072793237647623,137.37539808859518,2567.747804104468,0.1145074335509788,2517.813550079172,0.109161376953125,3.672664355336335e-06,728.5,0.01,0.034,0.058,0.0248791292419013,0.0628964622128947,0.0321835934819818,29.2,25.1,19.2,728.5,15.6,25.4,2024-08-03,0.109161376953125
19151,19151,2024-08-03 00:30:00,19154.0,0.0072255391492025,138.3979768638256,2616.0021088278604,0.1019353136985421,2553.138610251192,0.101409912109375,4.55963831284648e-06,728.5,0.01,0.034,0.058,0.0248791292419013,0.0628964622128947,0.0321835934819818,27.6,24.8,19.5,728.5,21.2,23.8,2024-08-03,0.101409912109375
