,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS
16650,16650,2024-06-11 22:00:00,12482.0,0.0089507187491968,111.72287142747452,2548.9638957793995,0.059019774555241,2487.0021510344795,0.066864013671875,4.613746381446552e-06,786.4,0.073,0.137,0.22,0.1263405539120468,0.0295110263381436,0.0152024540806462,35.0,23.9,17.0,786.4,16.5,28.5,2024-06-11,0.066864013671875
16651,16651,2024-06-11 22:30:00,12582.0,0.0089150782526656,112.1695145750395,2564.8630922517664,0.0558147821712542,2501.2785102970806,0.064483642578125,4.707561567305229e-06,786.1,0.073,0.138,0.221,0.1268987724526229,0.0301623114976229,0.0155379602950673,35.4,24.6,17.3,786.1,17.4,27.9,2024-06-11,0.064483642578125
16652,16652,2024-06-11 23:00:00,12410.0,0.0089766462153963,111.40017953306898,2529.688587348957,0.0630155987439028,2460.6144344180307,0.071502685546875,5.198502302149112e-06,786.0,0.073,0.139,0.221,0.1272447672906063,0.030565990857686,0.0157459136500047,35.3,25.2,17.6,786.0,18.9,28.2,2024-06-11,0.071502685546875
16653,16653,2024-06-11 23:30:00,12720.0,0.0088665862766488,112.78297743897348,2582.7992158968736,0.0522938270026205,2520.184637886221,0.061370849609375,4.600969329739385e-06,785.9,0.073,0.139,0.221,0.1272447672906063,0.030565990857686,0.0157459136500047,34.8,25.6,17.8,785.9,17.1,27.8,2024-06-11,0.061370849609375
16654,16654,2024-06-12 00:00:00,12728.0,0.0088637993564867,112.81843820936363,2587.180745061638,0.0514485106027607,2529.790789160246,0.059783935546875,4.201046844232002e-06,785.7,0.072,0.14,0.222,0.1273612043717584,0.0307018404174107,0.0158158958549584,34.3,25.9,18.1,785.7,15.7,27.7,2024-06-12,0.059783935546875
16655,16655,2024-06-12 00:30:00,12310.0,0.0090130332563965,110.95043938624129,2507.193752826715,0.0678388976068676,2449.436624506648,0.073577880859375,4.366622265995758e-06,785.6,0.071,0.139,0.222,0.1265734280743509,0.029782725457593,0.0153424184905536,33.4,26.0,18.4,785.6,16.5,27.5,2024-06-12,0.073577880859375
16656,16656,2024-06-12 01:00:00,12570.0,0.0089193326448203,112.1160113453917,2560.935289773711,0.0565990972077184,2501.1712729527667,0.064483642578125,4.424891106849883e-06,785.6,0.07,0.139,0.223,0.1263438703175195,0.0295148956572546,0.0152044473405699,31.6,26.0,18.7,785.6,17.0,27.2,2024-06-12,0.064483642578125
16657,16657,2024-06-12 01:30:00,12460.0,0.0089586171829058,111.6243700990066,2535.979966483544,0.061697785246238,2479.2835370717166,0.068206787109375,4.234827773014117e-06,785.6,0.069,0.139,0.223,0.1259020888580955,0.0289994600575,0.0149389233311026,29.8,25.7,18.9,785.6,17.2,26.2,2024-06-12,0.068206787109375
16658,16658,2024-06-12 02:00:00,12326.0,0.0090071815867282,111.02252023801296,2488.0330653015667,0.0720901717428231,2433.87775221156,0.076446533203125,4.120487018800266e-06,785.7,0.068,0.138,0.223,0.125114312560688,0.0280803450976823,0.0144654459666979,28.2,25.3,19.1,785.7,17.7,25.2,2024-06-12,0.076446533203125
16659,16659,2024-06-12 02:30:00,12594.0,0.0089108299425589,112.22299229658778,2548.5238796276085,0.0591096256904201,2488.6671983668784,0.066619873046875,4.454018846357955e-06,785.8,0.067,0.137,0.224,0.1245387599658731,0.0274088359372808,0.0141195214617767,26.9,24.8,19.2,785.8,21.8,22.9,2024-06-12,0.066619873046875
