,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,BaroPress,airRH,airT,date,CRNS
2054,2054,2023-08-12 20:00:00,10240.0,0.0098821176880261,101.19288512538814,2243.618892341281,0.0924463246186925,2135.1322232316447,0.094207763671875,9.40931137219429e-06,793.6,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,17.3,15.1,793.6,50.5,21.3,2023-08-12,0.094207763671875
2055,2055,2023-08-12 20:30:00,10280.0,0.0098628730394058,101.3903348450926,2226.353633301214,0.0971172366981269,2137.035733718184,0.093719482421875,7.739857370497526e-06,793.2,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,17.7,15.3,793.2,41.3,21.4,2023-08-12,0.093719482421875
2056,2056,2023-08-12 21:00:00,10100.0,0.0099503719020998,100.4987562112089,2182.740739836039,0.1097164430844297,2092.8929482383705,0.105072021484375,7.949990915445114e-06,792.9,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,17.9,15.4,792.9,37.6,23.5,2023-08-12,0.105072021484375
2057,2057,2023-08-12 21:30:00,10260.0,0.0098724812959848,101.2916580968048,2215.346674813856,0.1001855462954148,2127.738072522112,0.096038818359375,7.624911848280701e-06,792.5,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,18.1,15.6,792.5,33.5,24.8,2023-08-12,0.096038818359375
2058,2058,2023-08-12 22:00:00,10250.0,0.0098772959664958,101.24228365658294,2219.7583734382915,0.0989470588226534,2122.47016830826,0.097381591796875,8.488380450453775e-06,792.3,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,18.4,15.7,792.3,38.8,24.1,2023-08-12,0.097381591796875
2059,2059,2023-08-12 22:30:00,10296.0,0.009855206599818,101.46920715172658,2227.41660112013,0.0968247184631184,2131.995400283107,0.095001220703125,8.288288401208737e-06,792.3,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,18.4,15.9,792.3,39.2,23.5,2023-08-12,0.095001220703125
2060,2060,2023-08-12 23:00:00,10024.0,0.0099880215568905,100.11992808627062,2171.557481417962,0.1131468596933296,2073.29191258619,0.110504150390625,8.777021436764428e-06,792.4,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,18.3,16.0,792.4,45.5,21.9,2023-08-12,0.110504150390625
2061,2061,2023-08-12 23:30:00,10142.0,0.0099297473119985,100.70749723828906,2204.9233527973543,0.1031588603901038,2099.275991873367,0.103363037109375,9.31955882541e-06,792.5,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,18.1,16.1,792.5,52.4,20.5,2023-08-12,0.103363037109375
2062,2062,2023-08-13 00:00:00,10116.0,0.0099424997711982,100.57832768544128,2214.4618834515672,0.1004353476767514,2103.025543686796,0.102386474609375,9.812700220236556e-06,792.7,0.067,0.042,0.0553609246245236,0.0040789569576437,0.0023587150502506,17.8,16.1,792.7,58.5,19.5,2023-08-13,0.102386474609375
2063,2063,2023-08-13 00:30:00,10014.0,0.0099930073414354,100.069975517135,2198.616122821762,0.1049909877008656,2079.847370069419,0.108673095703125,1.0574917077651724e-05,792.7,0.067,0.042,0.0553609246245236,0.0040789569576437,0.0023587150502506,17.6,16.1,792.7,65.7,18.8,2023-08-13,0.108673095703125
2064,2064,2023-08-13 01:00:00,9982.0,0.0100090121682537,99.90995946350894,2197.7262465518365,0.1052515180221883,2074.7605472030305,0.110076904296875,1.0975447666012555e-05,792.8,0.067,0.042,0.0553609246245236,0.0040789569576437,0.0023587150502506,17.3,16.1,792.8,69.0,18.6,2023-08-13,0.110076904296875
