date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-09-17,2023-09-17,5577.875,0.0094689528435907,105.61660638688808,2466.61124188368,0.0790078978193162,2393.826246896128,0.0798365275065104,5.63394675934044e-06,797.4666666666667,0.0934999999999999,0.0934999999999999,0.0765519950067175,0.0541304347826086,16.602083333333333,0.0,797.4666666666667,63.58541666666667,11.091666666666669,2023-09-17,0.0798365275065104,1000.5622715287454
2023-09-18,2023-09-18,5666.729166666667,0.0093953166476867,106.45119313814143,2530.853414448388,0.0660965286116802,2445.789738341453,0.0709927876790364,6.44423661365344e-06,795.3479166666666,0.0881041666666666,0.0881041666666666,0.0689211343264127,0.0487346014492753,16.14375,0.0,795.3479166666666,68.875,10.720833333333331,2023-09-18,0.0709927876790364,1006.7391448130587
2023-09-19,2023-09-19,5476.604166666667,0.0095570479213614,104.6500186581066,2463.794379339063,0.0800554692034365,2370.1494658773686,0.0845375061035156,7.315076543707598e-06,793.4895833333334,0.08275,0.08275,0.0613491992112067,0.0433804347826086,14.395833333333334,3.8342998,793.4895833333334,81.02291666666666,9.985416666666667,2023-09-19,0.0845375061035156,1006.1384755268665
2023-09-20,2023-09-20,5615.270833333333,0.0094391373923956,105.9633686908473,2496.2894382544714,0.072900406615465,2420.08988459894,0.0753351847330729,5.840466060823599e-06,792.1208333333334,0.0796666666666666,0.0796666666666666,0.0569887073938897,0.0402971014492753,14.075,0.024899999,792.1208333333334,70.44166666666666,10.125,2023-09-20,0.0753351847330729,1005.8775856847269
2023-09-21,2023-09-21,5788.5625,0.0092969651307807,107.58545649078184,2523.641675253308,0.0675495849146136,2446.0983147784423,0.0711008707682291,5.885864986647206e-06,789.9458333333333,0.0785416666666666,0.0785416666666666,0.0553977171362199,0.0391721014492753,16.8875,1.847,789.9458333333333,54.325,13.6875,2023-09-21,0.0711008707682291,1025.1432536398386
2023-09-22,2023-09-22,5946.916666666667,0.0091703894007546,109.05476162820646,2560.4783654776843,0.060339378429699,2503.9116301733834,0.0618120829264322,4.191481904237111e-06,790.3645833333334,0.077,0.077,0.0532174712275614,0.0376304347826086,16.472916666666666,0.4425,790.3645833333334,46.708333333333336,11.854166666666666,2023-09-22,0.0618120829264322,999.6575319947505
2023-09-23,2023-09-23,5973.541666666667,0.0091502989812333,109.29715610481404,2590.327803845958,0.0551096102246995,2537.204967960986,0.0571149190266927,3.882666571757725e-06,792.8479166666666,0.0740833333333333,0.0740833333333333,0.0490926816706399,0.034713768115942,16.29375,0.0,792.8479166666666,43.21458333333334,11.33125,2023-09-23,0.0571149190266927,989.668659136259
2023-09-24,2023-09-24,6057.395833333333,0.0090862761941531,110.06350875331349,2621.9177066654843,0.0496312046417347,2572.3939480050244,0.0522727966308593,3.56903873435352e-06,794.80625,0.0698958333333333,0.0698958333333333,0.0431706623782026,0.030526268115942,15.491666666666667,0.0,794.80625,48.90833333333333,8.804166666666667,2023-09-24,0.0522727966308593,969.4311536354011
2023-09-25,2023-09-25,5796.395833333333,0.0092900057501038,107.66064748219468,2672.5280290598225,0.0415795738887284,2621.078390563911,0.0461527506510416,3.633843257189115e-06,798.0375,0.0664583333333333,0.0664583333333333,0.038309303257545,0.027088768115942,15.377083333333331,0.0,798.0375,48.06666666666666,9.291666666666666,2023-09-25,0.0461527506510416,974.7694107565457
2023-09-26,2023-09-26,5866.6875,0.0092328811076406,108.31665355359358,2663.4460032347943,0.0429780501902807,2607.0348888625854,0.0478731791178385,4.007651861197958e-06,797.3145833333333,0.0632916666666666,0.0632916666666666,0.0338309603100303,0.0239221014492753,15.702083333333334,0.0,797.3145833333333,47.46666666666667,10.895833333333334,2023-09-26,0.0478731791178385,961.1040004680443
2023-09-27,2023-09-27,6042.458333333333,0.0090979463975817,109.92590085488534,2696.040992024484,0.0380116201286264,2632.541653703876,0.0447870890299479,4.466464100057537e-06,794.9875000000001,0.060875,0.060875,0.0304132775342953,0.0215054347826086,16.256249999999998,0.0,794.9875000000001,49.395833333333336,11.860416666666666,2023-09-27,0.0447870890299479,963.6192898709105
2023-09-28,2023-09-28,6212.604166666667,0.0089728120419086,111.4614983967761,2675.696992667462,0.0411002565340331,2615.5047277982817,0.0468457539876302,4.262137384035234e-06,791.5520833333334,0.0584791666666666,0.0584791666666666,0.0270250575411097,0.0191096014492753,16.45,0.0,791.5520833333334,45.12291666666667,12.59375,2023-09-28,0.0468457539876302,962.1307540509779
2023-09-29,2023-09-29,6310.75,0.0089018433652658,112.34239496977769,2667.780824421948,0.0423724285825456,2607.7630903008217,0.0478413899739583,4.262903078546393e-06,790.3395833333334,0.055375,0.055375,0.0226351029412432,0.0160054347826086,15.966666666666669,0.0,790.3395833333334,43.61875,12.18125,2023-09-29,0.0478413899739583,1026.3983615336854
2023-09-30,2023-09-30,6003.520833333333,0.0091278100718421,109.56952362856366,2493.701071673633,0.0733835605759035,2437.006393179055,0.0723508199055989,4.307492249592034e-06,789.625,0.0534791666666666,0.0534791666666666,0.0199539897292442,0.0141096014492753,14.025,0.0,789.625,46.43958333333333,12.0125,2023-09-30,0.0723508199055989,1037.9166138451862
2023-10-01,2023-10-01,6090.666666666667,0.0090613655399723,110.36559645131574,2495.6303832500826,0.0729593370390532,2429.7590737341843,0.0736236572265625,5.028793680223374e-06,788.0895833333334,0.0542916666666666,0.0542916666666666,0.0211030382486724,0.0149221014492753,14.691666666666668,0.0,788.0895833333334,36.87291666666667,17.037499999999998,2023-10-01,0.0736236572265625,1021.9281799434557
2023-10-02,2023-10-02,6071.291666666667,0.009075876326548,110.1896679136471,2506.320266634293,0.0708435768860578,2429.956513673017,0.0736058553059895,5.826699648770208e-06,789.4541666666668,0.0545416666666666,0.0545416666666666,0.0214565916392656,0.0151721014492753,14.38125,0.31379998,789.4541666666668,52.61875,13.358333333333334,2023-10-02,0.0736058553059895,1030.2532177032422
2023-10-03,2023-10-03,5801.020833333333,0.0092846883858178,107.70992065116025,2408.55349240294,0.0921557859670482,2331.750790355565,0.0917434692382812,6.1005081083543855e-06,790.1833333333334,0.053375,0.0533749999999999,0.019806675816497,0.0140054347826086,11.741666666666667,5.8363,790.1833333333334,86.82916666666667,5.833333333333333,2023-10-03,0.0917434692382812,1038.355774516718
2023-10-04,2023-10-04,5722.458333333333,0.0093484474107782,106.9771456090739,2419.376705504941,0.0896233267304968,2354.13420588741,0.0873298645019531,5.136078505474948e-06,793.1999999999999,0.0546875,0.0546875,0.0216628311171117,0.0153179347826086,12.022916666666667,1.1675999,793.1999999999999,73.12083333333334,6.833333333333333,2023-10-04,0.0873298645019531,1021.2280617941869
2023-10-05,2023-10-05,5602.041666666667,0.0094488810749394,105.84377047524514,2468.661008578571,0.0785649596840516,2407.468137960883,0.077374776204427,4.7070006821787245e-06,797.9625,0.0561875,0.0561875,0.0237841514606714,0.0168179347826086,12.916666666666666,0.0,797.9625,66.14999999999999,7.025,2023-10-05,0.077374776204427,1019.477982906601
2023-10-06,2023-10-06,5572.625,0.0094735961904098,105.56621050183703,2488.300480106986,0.0744814989929604,2424.268226387031,0.074493408203125,4.8907845386108965e-06,798.6104166666668,0.0573541666666666,0.0573541666666666,0.02543406728344,0.0179846014492753,13.297916666666666,0.0,798.6104166666668,65.83958333333334,8.054166666666667,2023-10-06,0.074493408203125,1017.3850041966249
2023-10-07,2023-10-07,5650.458333333333,0.0094081502159414,106.30079480398707,2516.154572526298,0.0689614597776292,2456.035992624763,0.0693092346191406,4.532807009067947e-06,798.0,0.05775,0.05775,0.0259938601518793,0.0183804347826086,13.310416666666669,0.0,798.0,59.75625,8.572916666666666,2023-10-07,0.0693092346191406,1010.0056368069955
