,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS
1642,1642,2023-08-04 06:00:00,10652.0,0.0096891219282318,103.20852677952534,1955.5422858769823,0.1765578492186923,1877.292735480899,0.171356201171875,7.718912030543948e-06,768.9,0.275,0.098,0.122,0.099,0.180176614789145,0.012119897518141,0.0062769948167108,14.9,15.7,15.2,13.4,768.9,89.3,8.7,2023-08-04,0.171356201171875
1643,1643,2023-08-04 06:30:00,10506.0,0.0097562136379735,102.49878048055012,1908.7130567418403,0.2038447703749326,1834.6794470189304,0.195098876953125,7.472655644963695e-06,768.8,0.275,0.098,0.122,0.1,0.1802136068574819,0.0121631410345278,0.0062993909902601,14.7,15.5,15.2,13.4,768.8,88.7,8.3,2023-08-04,0.195098876953125
1644,1644,2023-08-04 07:00:00,10506.0,0.0097562136379735,102.49878048055012,1907.831264455016,0.2043965222218936,1834.6794470189304,0.195098876953125,7.383651068062884e-06,768.8,0.275,0.097,0.122,0.1,0.1798807797693889,0.0117740680714582,0.0060978868959512,14.4,15.3,15.2,13.4,768.8,91.1,7.7,2023-08-04,0.195098876953125
1645,1645,2023-08-04 07:30:00,10334.0,0.0098370702170315,101.65628362280415,1874.7654201378948,0.2262320308312888,1804.64281415321,0.214080810546875,7.195699710269167e-06,768.8,0.274,0.097,0.122,0.1,0.1794427713871985,0.0112620387769541,0.0058327027041875,14.2,15.2,15.2,13.4,768.8,92.3,7.1,2023-08-04,0.214080810546875
1646,1646,2023-08-04 08:00:00,10578.0,0.009722953721952,102.84940447080868,1918.8815228257715,0.197589179110807,1847.9356514783767,0.187347412109375,7.109622195491917e-06,768.6,0.274,0.097,0.122,0.1,0.1794427713871985,0.0112620387769541,0.0058327027041875,13.9,15.1,15.2,13.4,768.6,93.6,6.7,2023-08-04,0.187347412109375
1647,1647,2023-08-04 08:30:00,10304.0,0.0098513800779887,101.50862032359616,1869.1493485287967,0.2301768489533188,1801.4238755230356,0.216217041015625,6.962133915697502e-06,768.7,0.273,0.097,0.122,0.099,0.1789677709366711,0.0107067659660631,0.0055451223388745,13.7,14.9,15.1,13.4,768.7,94.7,6.2,2023-08-04,0.216217041015625
1648,1648,2023-08-04 09:00:00,10426.0,0.0097935724330472,102.1077861869505,1905.7209447653163,0.2057231185831597,1836.4064254704367,0.194061279296875,6.989750152042746e-06,768.7,0.273,0.097,0.122,0.1,0.1790047630050081,0.01075000948245,0.0055675185124239,13.4,14.8,15.1,13.4,768.7,95.7,6.1,2023-08-04,0.194061279296875
1649,1649,2023-08-04 09:30:00,10360.0,0.0098247186486482,101.7840851999958,1890.5569681192435,0.2155173987225734,1823.0854769410705,0.202178955078125,6.853612047590477e-06,768.7,0.272,0.097,0.122,0.099,0.1785297625544808,0.010194736671559,0.0052799381471109,13.2,14.6,15.1,13.4,768.7,95.7,5.8,2023-08-04,0.202178955078125
1650,1650,2023-08-04 10:00:00,10538.0,0.0097413893731704,102.65476121447072,1924.1514234538831,0.1944227164924303,1857.201543982136,0.182098388671875,6.675702951182003e-06,768.9,0.272,0.097,0.122,0.1,0.1785667546228177,0.0102379801879459,0.0053023343206602,13.0,14.4,15.0,13.4,768.9,95.7,5.4,2023-08-04,0.182098388671875
1651,1651,2023-08-04 10:30:00,10220.0,0.0098917823531116,101.09401564880088,1865.256440967004,0.2329543700240414,1801.1576940119028,0.216400146484375,6.590282663468055e-06,768.9,0.271,0.097,0.122,0.099,0.1780917541722904,0.0096827073770549,0.0050147539553472,12.7,14.3,15.0,13.4,768.9,95.1,5.3,2023-08-04,0.216400146484375
