,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS
3799,3799,2023-09-18 04:30:00,10146.0,0.0099277897472063,100.72735477515528,2082.813275938144,0.229939025641024,2010.1880275220424,0.208465576171875,6.690478648225964e-06,786.8,0.14,0.11,0.118,0.054,0.1240033970787851,0.0024214949967638,0.0012969083572745,9.5,10.6,11.4,11.8,786.8,77.9,8.6,2023-09-18,0.208465576171875
3800,3800,2023-09-18 05:00:00,10672.0,0.0096800386582795,103.30537256115966,2191.2222436749803,0.1769094390477105,2120.420611221237,0.162872314453125,6.183402174066032e-06,786.8,0.14,0.11,0.118,0.054,0.1240033970787851,0.0024214949967638,0.0012969083572745,9.3,10.5,11.3,11.8,786.8,75.8,7.8,2023-09-18,0.162872314453125
3801,3801,2023-09-18 05:30:00,10328.0,0.0098399272005518,101.6267681273,2121.6594430648324,0.2093994919094696,2052.0712212043604,0.189727783203125,6.279854041506426e-06,786.8,0.14,0.11,0.118,0.054,0.1240033970787851,0.0024214949967638,0.0012969083572745,9.0,10.3,11.3,11.8,786.8,79.0,7.4,2023-09-18,0.189727783203125
3802,3802,2023-09-18 06:00:00,10094.0,0.0099533287755945,100.46890066085126,2078.874880285293,0.2321304677273802,2009.758349684281,0.208709716796875,6.368605220979231e-06,786.7,0.14,0.109,0.118,0.054,0.1236677885970407,0.0028189077458814,0.0015097553449028,8.8,10.1,11.3,11.8,786.7,83.3,6.8,2023-09-18,0.208709716796875
3803,3803,2023-09-18 06:30:00,10476.0,0.0097701730293424,102.35233265539188,2165.1844171732664,0.1884846929829163,2093.6871795177453,0.172882080078125,6.323881296592067e-06,786.7,0.139,0.109,0.118,0.054,0.1232019782178757,0.003370499834345,0.0018051779620426,8.5,10.0,11.2,11.8,786.7,83.8,6.6,2023-09-18,0.172882080078125
3804,3804,2023-09-18 07:00:00,10506.0,0.0097562136379735,102.49878048055012,2167.2935179786946,0.1875223008016212,2098.1047317143803,0.171173095703125,6.10681535741346e-06,786.6,0.139,0.109,0.118,0.055,0.1232263463961396,0.0033416441133438,0.0017897233665255,8.2,9.8,11.1,11.8,786.6,86.4,5.6,2023-09-18,0.171173095703125
3805,3805,2023-09-18 07:30:00,10232.0,0.0098859801535588,101.15334893121434,2111.5527151059423,0.214562571426269,2044.922415122716,0.192779541015625,6.033942583879239e-06,786.7,0.139,0.109,0.118,0.055,0.1232263463961396,0.0033416441133438,0.0017897233665255,7.9,9.6,11.1,11.8,786.7,86.5,5.4,2023-09-18,0.192779541015625
3806,3806,2023-09-18 08:00:00,10318.0,0.0098446943764531,101.57755657624377,2127.344736804327,0.2065481240156306,2062.1099960160464,0.185516357421875,5.858323550501523e-06,786.7,0.139,0.109,0.118,0.055,0.1232263463961396,0.0033416441133438,0.0017897233665255,7.6,9.4,11.0,11.8,786.7,86.8,4.9,2023-09-18,0.185516357421875
3807,3807,2023-09-18 08:30:00,10244.0,0.0098801881521905,101.21264743103995,2109.10264308677,0.2158327557249693,2044.2443181418937,0.193084716796875,5.875423406647873e-06,786.5,0.138,0.109,0.118,0.055,0.1227605360169745,0.0038932362018074,0.0020851459836653,7.4,9.2,10.9,11.8,786.5,88.8,4.6,2023-09-18,0.193084716796875
3808,3808,2023-09-18 09:00:00,10406.0,0.0098029793821307,102.00980345045274,2145.009651219369,0.1979228240110657,2078.9119258662213,0.178680419921875,5.887849002906719e-06,786.4,0.138,0.109,0.117,0.055,0.1225863230561479,0.0040995314996323,0.0021956339657479,7.2,9.1,10.9,11.8,786.4,88.4,4.7,2023-09-18,0.178680419921875
3809,3809,2023-09-18 09:30:00,10162.0,0.0099199710495987,100.80674580602232,2087.314525725336,0.2274600037319,2021.0275535652704,0.203460693359375,6.073823779973748e-06,786.3,0.138,0.109,0.118,0.055,0.1227605360169745,0.0038932362018074,0.0020851459836653,7.1,8.9,10.8,11.8,786.3,89.4,5.0,2023-09-18,0.203460693359375
3810,3810,2023-09-18 10:00:00,10044.0,0.0099780723348208,100.2197585309404,2056.0542421160617,0.2452564210922093,1993.0589134593924,0.216766357421875,5.853214636208776e-06,786.0,0.138,0.108,0.118,0.055,0.1224249275352302,0.004290648950925,0.0022979929712936,7.1,8.7,10.7,11.8,786.0,87.3,4.8,2023-09-18,0.216766357421875
3811,3811,2023-09-18 10:30:00,9854.0,0.0100738092013219,99.26731586982696,2016.8564333813536,0.2696542774336154,1955.3566839136656,0.236236572265625,5.824432231577035e-06,786.0,0.137,0.108,0.118,0.055,0.1219591171560651,0.0048422410393886,0.0025934155884334,6.9,8.6,10.6,11.8,786.0,89.8,4.3,2023-09-18,0.236236572265625
3812,3812,2023-09-18 11:00:00,10172.0,0.0099150937342689,100.85633346498376,2102.403040636173,0.2193438224442591,2037.4645089838216,0.196075439453125,5.902264288123722e-06,786.0,0.137,0.108,0.118,0.055,0.1219591171560651,0.0048422410393886,0.0025934155884334,6.7,8.5,10.5,11.8,786.0,91.0,4.3,2023-09-18,0.196075439453125
3813,3813,2023-09-18 11:30:00,10306.0,0.009850424143769,101.51847122568384,2127.877054757642,0.2062830653356682,2064.304879039252,0.184600830078125,5.702948848580095e-06,786.0,0.137,0.108,0.118,0.055,0.1219591171560651,0.0048422410393886,0.0025934155884334,6.5,8.3,10.4,11.8,786.0,90.3,3.9,2023-09-18,0.184600830078125
3814,3814,2023-09-18 12:00:00,10054.0,0.0099731088602388,100.269636480841,2072.6337171946534,0.2356468430979463,2011.5837161575007,0.207855224609375,5.620226320591034e-06,786.1,0.137,0.108,0.117,0.055,0.1217849041952385,0.0050485363372135,0.002703903570516,6.3,8.2,10.4,11.8,786.1,91.4,3.5,2023-09-18,0.207855224609375
