,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,BaroPress,airRH,airT,date,CRNS
2397,2397,2023-08-19 23:30:00,12288.0,0.0090210979560879,110.85125168440814,2701.3403448136723,0.0370308119574519,2587.5602359481422,0.050140380859375,8.142956534085533e-06,793.1,0.061,0.061,0.0282842712474618,0.0199999999999999,29.0,793.1,30.6,27.6,2023-08-19,0.050140380859375
2398,2398,2023-08-20 00:00:00,12770.0,0.0088492110173949,113.00442469213318,2826.693988074887,0.0200186929676803,2695.631062757565,0.037506103515625,9.003795968641149e-06,793.3,0.061,0.061,0.0282842712474618,0.0199999999999999,28.2,793.3,32.2,28.5,2023-08-20,0.037506103515625
2399,2399,2023-08-20 00:30:00,12774.0,0.0088478254053896,113.02212172844747,2796.8397322125447,0.0238106267871746,2689.3982501624664,0.038177490234375,7.398149659988997e-06,793.2,0.06,0.06,0.0268700576850888,0.019,27.7,793.2,30.9,25.7,2023-08-20,0.038177490234375
2400,2400,2023-08-20 01:00:00,12392.0,0.0089831633635091,111.31936040060596,2721.417248644376,0.0341033400490607,2607.0122609834943,0.047698974609375,8.126585802130699e-06,793.1,0.06,0.06,0.0268700576850888,0.019,27.0,793.1,38.0,23.7,2023-08-20,0.047698974609375
2401,2401,2023-08-20 01:30:00,12466.0,0.0089564609911662,111.65124271587844,2726.549485905231,0.0333682813283514,2616.671353354094,0.046539306640625,7.776216259715781e-06,792.8,0.06,0.06,0.0268700576850888,0.019,26.1,792.8,37.2,23.3,2023-08-20,0.046539306640625
2402,2402,2023-08-20 02:00:00,12618.0,0.0089023515106272,112.32987136109432,2768.62147303906,0.0275371495861537,2653.5600684533347,0.042144775390625,8.029841784698857e-06,793.3,0.059,0.059,0.0254558441227157,0.0179999999999999,25.4,793.3,42.6,21.5,2023-08-20,0.042144775390625
2403,2403,2023-08-20 02:30:00,12694.0,0.0088756619549113,112.66765285564442,2801.2271465212684,0.0232438634609881,2675.5711578383,0.039703369140625,8.697069209208951e-06,793.6,0.059,0.059,0.0254558441227157,0.0179999999999999,24.6,793.6,48.9,20.5,2023-08-20,0.039703369140625
2404,2404,2023-08-20 03:00:00,12472.0,0.0089543063555572,111.67810886650972,2754.24384544584,0.0294917455621301,2631.233565759592,0.044769287109375,8.657415183438141e-06,794.1,0.058,0.058,0.0240416305603426,0.017,23.9,794.1,56.4,18.0,2023-08-20,0.044769287109375
2405,2405,2023-08-20 03:30:00,12520.0,0.0089371250675395,111.89280584559492,2793.066413469677,0.0243007380526135,2669.8021527423803,0.040313720703125,8.549964994991215e-06,794.4,0.058,0.058,0.0240416305603426,0.017,23.4,794.4,55.7,18.0,2023-08-20,0.040313720703125
2406,2406,2023-08-20 04:00:00,12524.0,0.0089356977537769,111.91067866830224,2798.406031639676,0.0236079105648242,2676.685957926585,0.039581298828125,8.421142691230613e-06,794.7,0.058,0.058,0.0240416305603426,0.017,23.0,794.7,57.2,17.3,2023-08-20,0.039581298828125
2407,2407,2023-08-20 04:30:00,12362.0,0.0089940568919429,111.18453129819814,2765.7590121506223,0.0279232212631762,2646.038599967424,0.043060302734375,8.378731399029998e-06,794.9,0.057,0.057,0.0226274169979695,0.016,22.6,794.9,60.8,16.2,2023-08-20,0.043060302734375
2408,2408,2023-08-20 05:00:00,12442.0,0.008965095113664,111.5437134042076,2776.6057790178606,0.0264682210467354,2657.686006670345,0.041717529296875,8.286223432370424e-06,795.0,0.057,0.057,0.0226274169979695,0.016,22.4,795.0,61.6,15.8,2023-08-20,0.041717529296875
2409,2409,2023-08-20 05:30:00,12408.0,0.0089773696425817,111.39120252515455,2765.214098749253,0.02799688764829,2650.42340224768,0.042510986328125,8.02043038525569e-06,795.0,0.057,0.057,0.0226274169979695,0.016,22.1,795.0,58.2,16.2,2023-08-20,0.042510986328125
2410,2410,2023-08-20 06:00:00,12172.0,0.009063981869734,110.3267873184024,2726.6112450418414,0.0333594683063939,2613.217323591754,0.046966552734375,8.035640263453746e-06,795.3,0.057,0.057,0.0226274169979695,0.016,21.9,795.3,60.1,15.7,2023-08-20,0.046966552734375
2411,2411,2023-08-20 06:30:00,12448.0,0.0089629342422759,111.57060544785082,2781.269884996565,0.0258491531017902,2666.4788389690098,0.040679931640625,7.972161940888753e-06,795.5,0.057,0.057,0.0226274169979695,0.016,21.7,795.5,58.2,16.1,2023-08-20,0.040679931640625
2412,2412,2023-08-20 07:00:00,12474.0,0.0089535884891708,111.6870628139177,2784.069803918062,0.0254793968902643,2668.033185752036,0.040557861328125,8.05397126920716e-06,795.3,0.057,0.057,0.0226274169979695,0.016,21.5,795.3,65.6,14.3,2023-08-20,0.040557861328125
2413,2413,2023-08-20 07:30:00,12348.0,0.0089991541192673,111.1215550647128,2767.6843570107326,0.0276633756371504,2651.0309271152846,0.042449951171875,8.148711807440974e-06,795.8,0.056,0.056,0.0212132034355964,0.015,21.2,795.8,72.8,12.8,2023-08-20,0.042449951171875
2414,2414,2023-08-20 08:00:00,12136.0,0.0090774155266449,110.16351483136329,2715.997844454098,0.0348853398150676,2605.0274180410897,0.047943115234375,7.888622907786885e-06,795.9,0.056,0.056,0.0212132034355964,0.015,20.9,795.9,72.7,12.3,2023-08-20,0.047943115234375
2415,2415,2023-08-20 08:30:00,12460.0,0.0089586171829058,111.6243700990066,2792.359014943715,0.0243928982276586,2676.586667732975,0.039581298828125,8.009949319408093e-06,796.0,0.056,0.056,0.0212132034355964,0.015,20.6,796.0,77.6,11.5,2023-08-20,0.039581298828125
2416,2416,2023-08-20 09:00:00,12312.0,0.0090123011739312,110.95945205344158,2757.8887577511714,0.0289925654963293,2646.28482189197,0.042999267578125,7.809966394586927e-06,796.2,0.056,0.056,0.0212132034355964,0.015,20.4,796.2,77.1,11.2,2023-08-20,0.042999267578125
2417,2417,2023-08-20 09:30:00,12236.0,0.0090402463609184,110.61645447219868,2740.9594420956105,0.031332554767618,2628.9519055480564,0.045074462890625,7.889888116219139e-06,796.4,0.056,0.056,0.0212132034355964,0.015,20.1,796.4,81.4,10.5,2023-08-20,0.045074462890625
2418,2418,2023-08-20 10:00:00,12106.0,0.0090886559844039,110.0272693471941,2712.0612686265304,0.0354571548805823,2602.977293162732,0.048248291015625,7.760627128811841e-06,796.5,0.056,0.056,0.0212132034355964,0.015,19.9,796.5,81.6,10.2,2023-08-20,0.048248291015625
2419,2419,2023-08-20 10:30:00,12560.0,0.0089228826281031,112.0714058089752,2812.7749949039544,0.0217679046918445,2700.594317043111,0.036956787109375,7.692454758108776e-06,796.5,0.055,0.055,0.0197989898732233,0.0139999999999999,19.7,796.5,85.1,9.4,2023-08-20,0.036956787109375
2420,2420,2023-08-20 11:00:00,12442.0,0.008965095113664,111.5437134042076,2780.5146563781486,0.0259491289013907,2670.179659235426,0.040313720703125,7.652071952391606e-06,796.5,0.055,0.055,0.0197989898732233,0.0139999999999999,19.5,796.5,87.4,8.9,2023-08-20,0.040313720703125
2421,2421,2023-08-20 11:30:00,12498.0,0.0089449875376284,111.79445424527998,2793.918052214847,0.0241899025200188,2684.215276854561,0.038726806640625,7.568442421738031e-06,796.6,0.055,0.055,0.0197989898732233,0.0139999999999999,19.2,796.6,87.0,8.8,2023-08-20,0.038726806640625
2422,2422,2023-08-20 12:00:00,12462.0,0.0089578982793069,111.63332835672328,2798.629950819668,0.0235789648996448,2690.6360032933467,0.038055419921875,7.432770224981098e-06,796.8,0.055,0.055,0.0197989898732233,0.0139999999999999,19.0,796.8,87.1,8.5,2023-08-20,0.038055419921875
2423,2423,2023-08-20 12:30:00,12282.0,0.0090233011794584,110.82418508610834,2761.6751351160788,0.028476660144123,2655.763328246116,0.041900634765625,7.385182768324597e-06,797.0,0.055,0.055,0.0197989898732233,0.0139999999999999,18.8,797.0,87.1,8.4,2023-08-20,0.041900634765625
2424,2424,2023-08-20 13:00:00,12342.0,0.0090013412997879,111.09455432198286,2782.229660568703,0.0257222474308495,2678.7889867710005,0.039337158203125,7.150873184676623e-06,797.5,0.055,0.055,0.0197989898732233,0.0139999999999999,18.6,797.5,82.2,8.8,2023-08-20,0.039337158203125
2425,2425,2023-08-20 13:30:00,12460.0,0.0089586171829058,111.6243700990066,2815.028853541264,0.0214824696399149,2708.4703110313867,0.036163330078125,7.285685705094799e-06,797.7,0.055,0.055,0.0197989898732233,0.0139999999999999,18.5,797.7,80.6,9.4,2023-08-20,0.036163330078125
2426,2426,2023-08-20 14:00:00,12172.0,0.009063981869734,110.3267873184024,2766.016285487891,0.0278884598170923,2651.841680588726,0.042388916015625,7.973117515448049e-06,798.0,0.055,0.055,0.0197989898732233,0.0139999999999999,18.4,798.0,74.4,12.1,2023-08-20,0.042388916015625
2427,2427,2023-08-20 14:30:00,12358.0,0.0089955123587202,111.16654172906524,2777.641177110045,0.0263304533488478,2692.364400978925,0.037872314453125,5.865474812434448e-06,798.0,0.055,0.055,0.0197989898732233,0.0139999999999999,18.5,798.0,41.8,16.5,2023-08-20,0.037872314453125
2428,2428,2023-08-20 15:00:00,12384.0,0.0089860644336198,111.28342194594843,2777.795704753043,0.0263099088872136,2691.4404169806007,0.037994384765625,5.941695702036043e-06,797.8,0.055,0.055,0.0197989898732233,0.0139999999999999,18.6,797.8,33.8,20.3,2023-08-20,0.037994384765625
2429,2429,2023-08-20 15:30:00,12282.0,0.0090233011794584,110.82418508610834,2769.119191412171,0.027470174549714,2662.7519556018533,0.041107177734375,7.397473211776391e-06,797.6,0.055,0.055,0.0197989898732233,0.0139999999999999,18.9,797.6,36.0,23.0,2023-08-20,0.041107177734375
2430,2430,2023-08-20 16:00:00,12366.0,0.008992602131417,111.20251795710384,2761.3816725564034,0.0285165492864954,2674.922783370668,0.039764404296875,5.985557977337376e-06,797.3,0.055,0.055,0.0197989898732233,0.0139999999999999,19.4,797.3,25.0,25.7,2023-08-20,0.039764404296875
2431,2431,2023-08-20 16:30:00,12366.0,0.008992602131417,111.20251795710384,2752.568422511584,0.029722043399074,2674.922783370668,0.039764404296875,5.375415751259076e-06,797.3,0.055,0.055,0.0197989898732233,0.0139999999999999,20.0,797.3,20.2,27.6,2023-08-20,0.039764404296875
2432,2432,2023-08-20 17:00:00,12314.0,0.0090115692698269,110.9684639886486,2743.7510041402825,0.0309429055638738,2661.672513173531,0.041229248046875,5.710590042227084e-06,797.2,0.056,0.056,0.0212132034355964,0.015,21.3,797.2,20.2,28.7,2023-08-20,0.041229248046875
2433,2433,2023-08-20 17:30:00,12428.0,0.0089701432310085,111.48094007497426,2755.0453228169936,0.0293817656765704,2684.2946007022297,0.038726806640625,4.880979000360306e-06,797.1,0.056,0.056,0.0212132034355964,0.015,22.7,797.1,16.8,29.2,2023-08-20,0.038726806640625
2434,2434,2023-08-20 18:00:00,12486.0,0.008949284913585,111.74077143102244,2775.520097650096,0.0266128879454989,2706.4623118727022,0.036346435546875,4.725164208481699e-06,796.7,0.056,0.056,0.0212132034355964,0.015,24.1,796.7,16.0,29.5,2023-08-20,0.036346435546875
2435,2435,2023-08-20 18:30:00,12418.0,0.008973754254556,111.43608033307704,2750.3246608810778,0.0300313004740124,2673.5883194524845,0.039886474609375,5.315116577408523e-06,796.3,0.057,0.057,0.0226274169979695,0.016,25.5,796.3,17.9,29.6,2023-08-20,0.039886474609375
2436,2436,2023-08-20 19:00:00,12596.0,0.0089101224811674,112.2319027727856,2771.3144415237866,0.0271753158358001,2703.7677453564247,0.036651611328125,4.626376455552908e-06,795.9,0.058,0.058,0.0240416305603426,0.017,26.8,795.9,15.0,30.3,2023-08-20,0.036651611328125
