,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,BaroPress,airRH,airT,date,CRNS
17160,17160,2024-06-22 13:00:00,10292.0,0.0098571215335968,101.4494948237792,2258.626064215326,0.1602303921532652,2167.2027626647305,0.126129150390625,7.81202447669052e-06,796.5,0.196,0.095,0.150083718733142,0.1322189880856788,0.0765467379606962,11.6,14.1,796.5,89.8,8.8,2024-06-22,0.126129150390625
17161,17161,2024-06-22 13:30:00,10306.0,0.009850424143769,101.51847122568384,2271.887874384553,0.1550058868531924,2175.051366698085,0.123748779296875,8.244718668795597e-06,796.8,0.195,0.095,0.1495383353793485,0.1315501103813952,0.0761594985248267,11.5,13.9,796.8,85.6,10.4,2024-06-22,0.123748779296875
17162,17162,2024-06-22 14:00:00,10240.0,0.0098821176880261,101.19288512538814,2273.7843337493064,0.1542702579079389,2172.6990283392056,0.124481201171875,8.615781918114788e-06,797.0,0.195,0.095,0.1495383353793485,0.1315501103813952,0.0761594985248267,11.6,13.8,797.0,80.9,12.0,2024-06-22,0.124481201171875
17163,17163,2024-06-22 14:30:00,10434.0,0.0097898172287554,102.14695296483396,2317.486079631962,0.1380690527318307,2215.5266738414825,0.112213134765625,8.522294795911083e-06,797.1,0.194,0.095,0.148992952025555,0.1308812326771117,0.0757722590889571,11.9,13.7,797.1,75.2,13.0,2024-06-22,0.112213134765625
17164,17164,2024-06-22 15:00:00,10368.0,0.0098209275164798,101.82337649086284,2310.9259676702686,0.1404127642395189,2203.6211449284915,0.115509033203125,9.017549825400765e-06,797.1,0.194,0.096,0.1494475686717616,0.1314387908360262,0.0760950512907898,12.4,13.6,797.1,73.0,14.4,2024-06-22,0.115509033203125
17165,17165,2024-06-22 15:30:00,10654.0,0.0096882124504123,103.21821544669332,2371.3395270295773,0.1199015230150482,2262.705839832765,0.099945068359375,8.890837300520755e-06,797.0,0.194,0.096,0.1494475686717616,0.1314387908360262,0.0760950512907898,13.1,13.7,797.0,65.3,16.0,2024-06-22,0.099945068359375
17166,17166,2024-06-22 16:00:00,10228.0,0.0098879130854677,101.13357503816424,2270.599823544196,0.1555071351489511,2170.598944199422,0.125091552734375,8.53159972717738e-06,796.9,0.193,0.095,0.1484475686717616,0.1302123549728281,0.0753850196530875,14.4,13.8,796.9,60.8,16.5,2024-06-22,0.125091552734375
17167,17167,2024-06-22 16:30:00,10208.0,0.0098975947808111,101.03464752252071,2271.3734303120327,0.1552059266606743,2164.726293408292,0.126861572265625,9.123310349732086e-06,796.8,0.194,0.095,0.148992952025555,0.1308812326771117,0.0757722590889571,16.0,14.1,796.8,61.6,17.4,2024-06-22,0.126861572265625
17168,17168,2024-06-22 17:00:00,10454.0,0.0097804480838884,102.24480426897009,2340.1003070583097,0.1302136833317514,2227.9462802176176,0.108917236328125,9.32215664900549e-06,796.7,0.193,0.096,0.1489021853179681,0.1307699131317426,0.0757078118549203,17.8,14.6,796.7,56.9,19.1,2024-06-22,0.108917236328125
17169,17169,2024-06-22 17:30:00,10278.0,0.0098638326028697,101.3804714922948,2304.5721126397984,0.1427116122525343,2188.791005572581,0.119720458984375,9.795793978776592e-06,796.6,0.194,0.096,0.1494475686717616,0.1314387908360262,0.0760950512907898,19.6,15.2,796.6,55.4,20.4,2024-06-22,0.119720458984375
17170,17170,2024-06-22 18:00:00,10404.0,0.0098039215686274,102.0,2329.98123569578,0.1336865507344471,2213.95856354495,0.112701416015625,9.704644152657084e-06,796.5,0.193,0.096,0.1489021853179681,0.1307699131317426,0.0757078118549203,21.3,15.9,796.5,50.6,21.8,2024-06-22,0.112701416015625
17171,17171,2024-06-22 18:30:00,10126.0,0.0099375891669715,100.62802790475423,2261.153761541312,0.1592236238076153,2141.326846801234,0.134124755859375,1.0362812865050911e-05,796.3,0.192,0.097,0.1488114186103811,0.1306585935863735,0.0756433646208834,23.0,16.8,796.3,51.6,22.6,2024-06-22,0.134124755859375
17172,17172,2024-06-22 19:00:00,10142.0,0.0099297473119985,100.70749723828906,2243.773636046068,0.1662535602690145,2138.2697710323946,0.135101318359375,9.13717859411008e-06,795.9,0.191,0.097,0.1482660352565876,0.12998971588209,0.0752561251850139,24.8,17.7,795.9,40.6,24.6,2024-06-22,0.135101318359375
17173,17173,2024-06-22 19:30:00,10548.0,0.0097367706306164,102.70345661174214,2311.0148704615767,0.1403808013731531,2217.189751139024,0.111785888671875,7.836506590310153e-06,795.5,0.19,0.098,0.1481752685490006,0.1298783963367209,0.075191677950977,26.8,18.7,795.5,33.1,25.5,2024-06-22,0.111785888671875
17174,17174,2024-06-22 20:00:00,10300.0,0.0098532927816429,101.4889156509222,2248.5154635510307,0.1643103539955209,2161.806864730653,0.127777099609375,7.427651466774365e-06,795.3,0.188,0.098,0.1470845018414137,0.1285406409281539,0.0744171990792379,28.5,19.8,795.3,30.0,26.3,2024-06-22,0.127777099609375
17175,17175,2024-06-22 20:30:00,10652.0,0.0096891219282318,103.20852677952534,2333.9185175939583,0.1323272913717728,2232.326682156389,0.107757568359375,8.427665632091027e-06,795.1,0.185,0.098,0.1454483517800332,0.1265340078153032,0.0732554807716292,29.7,20.9,795.1,35.2,25.7,2024-06-22,0.107757568359375
17176,17176,2024-06-22 21:00:00,10486.0,0.0097655132432094,102.40117186829455,2278.4544752728984,0.1524707340161504,2190.4908336210715,0.119232177734375,7.436490040877624e-06,794.8,0.182,0.099,0.1442668183648593,0.1250849328613671,0.0724165546658532,29.6,21.9,794.8,28.1,27.5,2024-06-22,0.119232177734375
17177,17177,2024-06-22 21:30:00,10636.0,0.0096964069833424,103.1309846748299,2320.6542033976966,0.1369478452390998,2251.0931119768734,0.102874755859375,5.722412603864407e-06,795.4,0.178,0.099,0.1420852849496853,0.122409422044233,0.0708675969223749,29.9,22.6,795.4,25.0,24.9,2024-06-22,0.102874755859375
17178,17178,2024-06-22 22:00:00,10768.0,0.0096367918061462,103.76897416858276,2355.240747004397,0.1251404172119966,2277.317796939644,0.096405029296875,6.336478798571318e-06,795.3,0.174,0.1,0.1403583681807179,0.1202914693860133,0.0696414313807294,28.3,23.2,795.3,28.8,24.2,2024-06-22,0.096405029296875
17179,17179,2024-06-22 22:30:00,10586.0,0.009719279136136,102.88828893513586,2314.900944278628,0.1389890626774153,2242.195916514746,0.105133056640625,6.004780372304287e-06,795.5,0.171,0.1,0.1387222181193375,0.1182848362731627,0.0684797130731207,26.7,23.3,795.5,28.4,23.5,2024-06-22,0.105133056640625
17180,17180,2024-06-22 23:00:00,10514.0,0.009752501227779,102.53779790886873,2329.639782428996,0.1338049139292982,2232.205416265924,0.107757568359375,8.083217167124736e-06,796.7,0.169,0.1,0.1376314514117504,0.1169470808645955,0.0677052342013815,25.0,23.2,796.7,55.9,17.0,2024-06-22,0.107757568359375
17181,17181,2024-06-22 23:30:00,10134.0,0.0099336659180358,100.66777041337512,2280.127543089167,0.15183017861384,2164.5089329361217,0.126922607421875,9.891783492434844e-06,797.5,0.167,0.1,0.1365406847041635,0.1156093254560285,0.0669307553296423,23.3,22.8,797.5,75.8,15.3,2024-06-22,0.126922607421875
17182,17182,2024-06-23 00:00:00,10200.0,0.0099014754297667,100.99504938362078,2291.2981547064105,0.14760809385989,2174.4441783035804,0.123931884765625,9.95179617655934e-06,797.5,0.167,0.1,0.1365406847041635,0.1156093254560285,0.0669307553296423,22.1,22.3,797.5,86.2,13.3,2024-06-23,0.123931884765625
17183,17183,2024-06-23 00:30:00,10080.0,0.0099602384111199,100.39920318408906,2215.9770410231968,0.1780438718783621,2101.089789481456,0.147552490234375,1.0125896122423637e-05,797.6,0.175,0.099,0.1404491348883049,0.1204027889313823,0.0697058786147662,21.1,21.8,797.6,86.1,13.6,2024-06-23,0.147552490234375
17184,17184,2024-06-23 01:00:00,10176.0,0.0099131448214768,100.87616170334792,2239.1831814282905,0.1681531823223264,2121.1001684288985,0.140716552734375,1.0309378573909663e-05,797.6,0.184,0.099,0.1453575850724462,0.1264226882699342,0.0731910335375923,20.6,21.3,797.6,79.0,15.3,2024-06-23,0.140716552734375
17185,17185,2024-06-23 01:30:00,10316.0,0.0098456486433459,101.56771140475698,2255.70869445998,0.1613989002795226,2148.665825348598,0.131805419921875,9.225610285828758e-06,797.5,0.186,0.099,0.1464483517800332,0.1277604436785012,0.0739655124093315,20.4,20.8,797.5,69.0,15.7,2024-06-23,0.131805419921875
17186,17186,2024-06-23 02:00:00,10326.0,0.0098408800817046,101.61692772368194,2239.7730829037,0.1679080436551344,2137.4957646916664,0.135345458984375,8.860950475881582e-06,797.2,0.187,0.098,0.1465391184876202,0.1278717632238703,0.0740299596433683,19.8,20.5,797.2,70.0,14.8,2024-06-23,0.135345458984375
17187,17187,2024-06-23 02:30:00,10264.0,0.0098705573982181,101.31140113531151,2226.8015425948106,0.173369541284879,2126.259772742052,0.139007568359375,8.756618785586234e-06,797.3,0.187,0.098,0.1465391184876202,0.1278717632238703,0.0740299596433683,19.1,20.2,797.3,74.0,13.7,2024-06-23,0.139007568359375
17188,17188,2024-06-23 03:00:00,10244.0,0.0098801881521905,101.21264743103995,2249.4020268493327,0.1639491654062451,2145.542559872919,0.132781982421875,8.964275510060725e-06,797.2,0.186,0.098,0.1459937351338267,0.1272028855195868,0.0736427202074988,18.5,19.8,797.2,79.1,13.0,2024-06-23,0.132781982421875
17189,17189,2024-06-23 03:30:00,10382.0,0.0098143035823432,101.89209979188767,2292.80912199824,0.1470442078825883,2188.2998316841304,0.119903564453125,8.84411358999921e-06,797.4,0.185,0.098,0.1454483517800332,0.1265340078153032,0.0732554807716292,17.8,19.5,797.4,81.0,12.4,2024-06-23,0.119903564453125
17190,17190,2024-06-23 04:00:00,10206.0,0.0098985645152749,101.02474944289642,2256.5345057445707,0.1610674201322482,2154.4401839891025,0.130035400390625,8.775530655780698e-06,797.6,0.185,0.098,0.1454483517800332,0.1265340078153032,0.0732554807716292,17.2,19.1,797.6,82.4,12.0,2024-06-23,0.130035400390625
17191,17191,2024-06-23 04:30:00,9982.0,0.0100090121682537,99.90995946350894,2208.728749370245,0.1812353030909249,2110.325840201683,0.144378662109375,8.635046119417985e-06,797.8,0.184,0.097,0.1444483517800332,0.1253075719521052,0.0725454491339269,16.7,18.7,797.8,82.1,11.8,2024-06-23,0.144378662109375
17192,17192,2024-06-23 05:00:00,10058.0,0.0099711255433532,100.28958071504736,2224.153254242272,0.1745031645982469,2126.393237903079,0.139007568359375,8.51380939648443e-06,797.8,0.183,0.097,0.1439029684262397,0.1246386942478217,0.0721582096980573,16.2,18.3,797.8,83.0,11.4,2024-06-23,0.139007568359375
