Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT
2023-09-07,6220.395833333333,0.00895419835229575,111.68707114636794,2452.5229806534594,0.06199711123347363,2404.830532274877,0.051363627115885414,0.03766666666666667,0.07408333333333333,0.10679166666666666,,0.0662291185554982,0.030408954892922592,0.015526998165334647,19.490697674418605,19.520833333333332,18.714583333333334,,0.0,784.4645833333334,28.8125,17.322916666666668
2023-09-08,6207.75,0.008988968587419639,111.25202149870573,2467.716803257291,0.058925611879874946,2423.9670034535525,0.048566182454427086,0.0344375,0.07358333333333333,0.10675,,0.06468012938456039,0.03221049316026428,0.016446874611937053,18.478048780487807,19.385416666666668,18.7375,,0.0,786.5208333333334,28.681250000000002,16.318749999999998
2023-09-09,6176.333333333333,0.009000403500808468,111.11054788178127,2468.9146740243577,0.05868137737495289,2422.6444250637896,0.04872894287109375,0.03195833333333333,0.07295833333333333,0.106375,,0.06332827676993898,0.03378275348508753,0.017249680340214183,19.074418604651164,19.1375,18.595833333333335,,0.0,787.6145833333334,27.360416666666666,16.116666666666667
2023-09-10,6161.979166666667,0.009023458804682166,110.8292393695966,2460.601591156938,0.06029822467531704,2391.2247359481385,0.053263346354166664,0.030812500000000003,0.0726875,0.10633333333333334,,0.06274011946138235,0.03446680468341834,0.01759896106159634,20.354347826086954,19.618750000000002,18.889583333333334,,0.0,785.8583333333332,34.40416666666667,17.10625
2023-09-11,6032.479166666667,0.009092525623255658,109.99805590092556,2429.5381318367213,0.06653212867028295,2340.8900743898666,0.061107635498046875,0.032875,0.07097916666666666,0.10527083333333333,,0.06277663062935902,0.03442434068978339,0.017577278686993714,18.9,18.333333333333332,18.037499999999998,,2.6536999,784.8854166666666,66.72291666666666,14.514583333333334
2023-09-12,6176.3125,0.008990721991340683,111.23751340911588,2433.8302053004622,0.06569728266990725,2374.226396359065,0.055844624837239586,0.036625,0.07041666666666667,0.10470833333333333,,0.06403899515365019,0.03295615870341854,0.016827615994246252,17.504545454545454,18.008333333333333,17.795833333333334,,0.0346,783.4166666666666,50.24375,13.010416666666666
2023-09-13,6213.145833333333,0.00898132202223723,111.34747478890363,2457.2987264126527,0.06091746665955028,2386.0227998651108,0.053960164388020836,0.034749999999999996,0.0705,0.1045625,,0.06324070765397687,0.03388459997724055,0.017301683781383866,17.969565217391306,18.389583333333334,17.95,,0.0,781.5187500000001,44.45208333333333,13.991666666666667
2023-09-14,6164.0,0.00909431418313898,109.99673010578279,2423.418495520306,0.06852954442999719,2338.4034419631807,0.06216303507486979,0.03229166666666667,0.068625,0.10331249999999999,,0.061263243508605125,0.0361844723049641,0.018476012644010404,15.44375,16.431250000000002,16.895833333333332,,0.8746,782.18125,66.65833333333333,10.758333333333333
2023-09-15,5703.479166666667,0.009405310749127541,106.34218081572327,2276.656052566376,0.10284601564882122,2184.860254181197,0.09060414632161458,0.05308333333333334,0.06758333333333334,0.10185416666666668,,0.06936425285996585,0.026762664441883098,0.013665179982403792,13.686666666666666,15.025,15.635416666666666,,5.4214997,784.3249999999999,86.925,10.18125
2023-09-16,5466.791666666667,0.009511846826833157,105.15404593503155,2243.6510834271694,0.11186270939886893,2176.7376921817417,0.09231948852539062,0.11608333333333333,0.06679166666666667,0.10081250000000001,,0.09550872494665308,0.0036444344761147668,0.0018608705107943863,12.14782608695652,13.645833333333334,14.689583333333333,,2.3686,786.7604166666666,76.95416666666667,9.63125
2023-09-17,5670.479166666667,0.009391902388423048,106.4811421285557,2287.8631997281177,0.09939130451517562,2229.6920734369733,0.08084360758463542,0.10058333333333334,0.06839583333333334,0.10127083333333332,,0.08961045195057543,0.003215500191619963,0.0016418540443669256,13.799999999999999,14.725,14.995833333333332,,0.0,786.3937500000001,49.62916666666666,12.383333333333333
2023-09-18,5700.0,0.009412161868198998,106.2599324548214,2301.193925968396,0.09613968377526784,2231.5656265414855,0.08066813151041667,0.08529166666666667,0.06947916666666666,0.10208333333333335,,0.08370202599978119,0.010087243164274902,0.005150607992168577,13.799999999999999,15.293750000000001,15.497916666666667,,0.0,784.28125,54.27916666666667,11.866666666666667
2023-09-19,5572.0,0.009459544456300083,105.7185741761404,2292.3735657025713,0.09823569698362523,2215.7253919385494,0.0837109883626302,0.07783333333333332,0.06760416666666667,0.10031250000000001,,0.07948846237138184,0.01498779138040266,0.007652857853398076,10.862499999999999,12.377083333333333,13.612499999999999,,4.8142,782.375,76.91458333333334,9.477083333333333
2023-09-20,5716.25,0.009298308730905513,107.56648051580076,2334.3162669958997,0.08781194957314592,2276.159959566972,0.07221603393554688,0.07510416666666667,0.06758333333333334,0.09995833333333333,,0.07824457755622136,0.016434480703169274,0.008391546260793309,11.3125,11.93125,12.94375,,0.4455,781.03125,64.29791666666667,10.222916666666666
2023-09-21,5857.770833333333,0.009232027210566601,108.33379324686764,2340.0348523563575,0.08625772697999871,2280.6298810499643,0.07126490275065105,0.07591666666666667,0.07033333333333333,0.10135416666666668,,0.07986189311483563,0.014553476030007693,0.0074310937818439825,16.197916666666668,15.19375,14.514583333333334,,0.89129996,779.00625,45.19166666666666,14.043750000000001
2023-09-22,6002.666666666667,0.009112967871136189,109.7399902690359,2374.4889826794756,0.07822559932100313,2337.0711250585714,0.06152470906575521,0.07333333333333333,0.0705,0.1019375,,0.0789611296777295,0.0156011010439298,0.00796601751488267,14.331111111111111,14.950000000000001,14.866666666666667,,0.6107,779.3770833333333,32.479166666666664,12.939583333333333
2023-09-23,6005.416666666667,0.009120954832775037,109.64812726719482,2399.789511602963,0.07282346018196882,2357.8025562327543,0.0583953857421875,0.0690625,0.07085416666666668,0.10208333333333335,,0.07731006944944269,0.01752135215914177,0.008946509466936484,14.433333333333334,15.158333333333333,15.0,,0.0,781.86875,37.3,11.464583333333332
2023-09-24,6062.5625,0.009089166719279321,110.02675354227416,2410.708877895593,0.07040118127655012,2374.2126892157344,0.05576324462890625,0.06406250000000001,0.0701875,0.10175000000000001,,0.07488672378532583,0.020339803075916017,0.010385627725618393,13.393333333333334,14.154166666666667,14.395833333333334,,0.0,783.7270833333333,36.43541666666667,9.833333333333334
2023-09-25,5779.875,0.00935580890148755,106.89266231151178,2418.3705810916927,0.0689559049614883,2380.9284170448805,0.054850260416666664,0.060208333333333336,0.07058333333333333,0.101875,,0.07342157635210385,0.02204382994567702,0.011255714256826936,14.432608695652174,14.660416666666668,14.552083333333334,,0.0,786.9833333333332,33.395833333333336,11.072916666666666
2023-09-26,5805.0625,0.009259660473892643,108.00327153868822,2421.602822484899,0.0681208527847471,2379.4166197126947,0.054962158203125,0.0555,0.07085416666666668,0.10202083333333334,,0.0715565650138274,0.024212915022557808,0.012363262350070394,15.46888888888889,15.145833333333334,14.762500000000001,,0.0,786.3125,31.822916666666668,13.1
2023-09-27,5954.416666666667,0.009134325340361635,109.48739678572987,2437.637213667338,0.064805416514629,2392.07834675775,0.053067525227864586,0.050104166666666665,0.0713125,0.1024375,,0.06952804163267588,0.026572171346557323,0.013567913044028325,16.466666666666665,15.883333333333333,15.285416666666668,,0.0,784.0500000000001,34.21041666666667,14.014583333333334
2023-09-28,6161.875,0.008976955101591638,111.40992493135293,2441.233567178356,0.06414333749056535,2400.4700580831113,0.051907857259114586,0.04510416666666667,0.07129166666666667,0.10252083333333334,,0.06742430201975694,0.0290189072491082,0.0148172313452899,16.77777777777778,16.2,15.585416666666667,,0.0,780.6979166666666,29.308333333333334,14.945833333333333
2023-09-29,6339.333333333333,0.008862435959298635,112.84108594431073,2466.7667651058046,0.05918106810597968,2426.6017350238412,0.048252105712890625,0.040625,0.07114583333333334,0.1025,,0.06547366387804235,0.0312875798285992,0.015975629425840184,16.804444444444446,16.256249999999998,15.674999999999999,,0.0,779.5395833333333,26.34583333333333,15.158333333333333
2023-09-30,6452.020833333333,0.008795480621631248,113.70453695087237,2461.076756282188,0.06015685080165065,2414.4568973872456,0.04986572265625,0.03685416666666667,0.07072916666666666,0.10252083333333334,,0.06373872233988226,0.03330538836544244,0.0170059347934493,15.673913043478262,16.03125,15.737499999999999,,0.0,778.81875,29.96875,14.320833333333333
2023-10-01,6511.416666666667,0.00876698146875581,114.07264822810016,2457.314098451347,0.06101948128591076,2397.5841349714387,0.0523834228515625,0.036020833333333335,0.06983333333333333,0.10172916666666666,,0.0628933992239607,0.03428853400013993,0.01750793496149051,16.876595744680852,15.497916666666667,15.141666666666666,,0.0,777.2791666666667,38.93333333333333,15.922916666666666
2023-10-02,6424.854166666667,0.008859314053661022,112.88684579517236,2420.132403953935,0.06855140143313003,2348.284706387097,0.059923807779947914,0.03395833333333333,0.07,0.10216666666666667,,0.06217934198542158,0.035119012007627695,0.017931982106287797,15.189361702127659,16.066666666666666,15.754166666666668,,0.0,778.5458333333332,51.89791666666667,12.327083333333334
2023-10-03,6245.25,0.008941503386225168,111.84205683869202,2383.221584682388,0.07632752175333794,2315.8207461783754,0.065093994140625,0.03860416666666667,0.06627083333333333,0.0996875,,0.0622828699851387,0.034998604675716645,0.01787050138693197,8.862499999999999,11.63125,13.231250000000001,,4.8259997,779.0187500000001,85.60208333333333,5.122916666666667
2023-10-04,6198.916666666667,0.009007284067224333,111.0285878572408,2394.03334760047,0.07400547678122722,2340.555328884238,0.061040242513020836,0.04627083333333334,0.0654375,0.09833333333333334,,0.0649260565491675,0.03192446972877037,0.016300829300229143,9.321739130434782,10.564583333333333,11.74375,,0.4262,782.0166666666668,63.23333333333333,6.939583333333334
2023-10-05,5981.25,0.009164621029044273,109.12153666801213,2412.0477192883086,0.07009232549012169,2358.3947431147894,0.058153788248697914,0.051916666666666667,0.06633333333333334,0.09872916666666666,,0.06771638364418114,0.02867920427799643,0.014643776932674135,10.864444444444445,11.9125,12.364583333333334,,0.0,786.80625,55.82916666666667,7.622916666666666
2023-10-06,5904.875,0.009200946491847174,108.69205598203355,2412.4415098101304,0.07001113627864852,2359.2478820006186,0.058039347330729164,0.05483333333333334,0.0671875,0.09933333333333334,,0.06938556063195674,0.026737882624583414,0.01365252623507506,12.071111111111112,12.835416666666667,12.933333333333332,,0.0,787.5083333333333,53.958333333333336,9.020833333333334
2023-10-07,5981.333333333333,0.009124204608668748,109.60705017326694,2444.859163357585,0.0634163484820048,2394.36206459639,0.052775065104166664,0.05445833333333333,0.06758333333333334,0.09952083333333334,,0.06940708464035525,0.026712849315426692,0.013639744074467523,12.633333333333333,13.143749999999999,13.139583333333334,,0.0,786.94375,47.61875,9.950000000000001
2023-10-08,6130.583333333333,0.009006144903851687,111.04829038518103,2446.906653646521,0.06299764126077072,2402.5928179319253,0.05157597859700521,0.05177083333333333,0.06797916666666666,0.09958333333333334,,0.06842118262018392,0.02785949401153699,0.014225227862236204,13.18,13.418750000000001,13.325000000000001,,0.0,785.18125,41.020833333333336,10.810416666666667
