Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
2771,2023-08-27 18:30:00,11386.0,0.0093716143836952,106.70520137275408,2587.803313723681,0.0553127623626824,2459.6683074833795,0.068450927734375,9.647115746103671e-06,797.5,0.084,,,,0.084,0.060811183182043094,0.043000000000000003,24.6,,,,797.5,44.6,23.9
2772,2023-08-27 19:00:00,11292.0,0.0094105404383884,106.26382263028184,2568.0137852459416,0.0588361718645683,2433.865775163717,0.072662353515625,1.0206899798173843e-05,797.2,0.085,,,,0.085,0.06222539674441619,0.044000000000000004,26.1,,,,797.2,48.0,23.6
2773,2023-08-27 19:30:00,11496.0,0.0093266702530829,107.21940122944169,2599.4947454864027,0.0532818647872877,2474.1124514919584,0.066192626953125,9.384756670337627e-06,797.0,0.086,,,,0.086,0.06363961030678926,0.044999999999999984,27.0,,,,797.0,41.0,24.9
2774,2023-08-27 20:00:00,11512.0,0.0093201866441985,107.29398864801328,2591.845094931372,0.0546064923677643,2456.107572342188,0.069000244140625,1.023431487297831e-05,796.6,0.086,,,,0.086,0.06363961030678926,0.044999999999999984,27.5,,,,796.6,41.8,26.1
2775,2023-08-27 20:30:00,11616.0,0.009278370237815,107.77754868245984,2595.1825312086253,0.0540266414545494,2470.8538492021926,0.066680908203125,9.318167486363172e-06,796.2,0.087,,,,0.087,0.06505382386916236,0.04599999999999999,28.6,,,,796.2,36.4,26.9
2776,2023-08-27 21:00:00,11724.0,0.0092355357786688,108.2774214691133,2624.1029004396155,0.0491250191974893,2500.03391324646,0.062225341796875,9.19017068023181e-06,795.9,0.088,,,,0.088,0.06646803743153545,0.046999999999999986,29.8,,,,795.9,35.9,26.9
2777,2023-08-27 21:30:00,11620.0,0.0092767731347413,107.79610382569491,2610.7680886206567,0.0513580809037262,2485.364425010947,0.064422607421875,9.343861380957277e-06,795.8,0.087,,,,0.087,0.06505382386916236,0.04599999999999999,30.6,,,,795.8,35.7,27.3
2778,2023-08-27 22:00:00,11876.0,0.00917624299483,108.97706180660222,2657.821457324787,0.0436751331702447,2534.3963059686657,0.057281494140625,9.018522263690303e-06,795.5,0.088,,,,0.088,0.06646803743153545,0.046999999999999986,30.7,,,,795.5,39.4,24.9
2779,2023-08-27 22:30:00,11672.0,0.0092560855627618,108.03703068855604,2617.520736276529,0.0502215966692342,2492.7352438904945,0.063323974609375,9.27030841826034e-06,795.6,0.088,,,,0.088,0.06646803743153545,0.046999999999999986,29.2,,,,795.6,40.5,24.9
2780,2023-08-27 23:00:00,11752.0,0.0092245270475613,108.4066418629412,2636.7400149828045,0.0470501219046944,2515.02533821523,0.060028076171875,8.962038916456165e-06,795.5,0.087,,,,0.087,0.06505382386916236,0.04599999999999999,27.7,,,,795.5,35.4,26.7
2781,2023-08-27 23:30:00,11612.0,0.0092799681660518,107.75899034419356,2599.7395859062053,0.0532397266407744,2483.1964115869337,0.064788818359375,8.691245371360368e-06,795.4,0.086,,,,0.086,0.06363961030678926,0.044999999999999984,27.6,,,,795.4,35.3,26.2
2782,2023-08-28 00:00:00,11602.0,0.0092839666013987,107.71258050942797,2595.6248623819038,0.0539500155941413,2476.3942945008894,0.065826416015625,8.916082080228825e-06,795.4,0.086,,,,0.086,0.06363961030678926,0.044999999999999984,27.8,,,,795.4,38.3,25.2
2783,2023-08-28 00:30:00,11588.0,0.009289573103761,107.64757312638312,2577.862104529337,0.057069022325027,2457.5835104648318,0.068756103515625,9.063298813978614e-06,795.3,0.086,,,,0.086,0.06363961030678926,0.044999999999999984,27.2,,,,795.3,40.5,24.5
2784,2023-08-28 01:00:00,11850.0,0.0091863042434925,108.8577052853862,2628.100254327633,0.0484643990190657,2511.259605970134,0.060577392578125,8.616057476416086e-06,795.2,0.085,,,,0.085,0.06222539674441619,0.044000000000000004,26.1,,,,795.2,43.9,22.2
2785,2023-08-28 01:30:00,11864.0,0.0091808825382266,108.92199043352082,2639.800194016184,0.0465535857043949,2516.117601670241,0.059844970703125,9.10298618497122e-06,795.3,0.084,,,,0.084,0.060811183182043094,0.043000000000000003,24.9,,,,795.3,52.7,20.0
2786,2023-08-28 02:00:00,11850.0,0.0091863042434925,108.8577052853862,2634.9518088799946,0.0473413304799695,2512.163580841015,0.060455322265625,9.051385395988762e-06,795.5,0.084,,,,0.084,0.060811183182043094,0.043000000000000003,24.0,,,,795.5,54.6,19.3
2787,2023-08-28 02:30:00,11474.0,0.009335607349326,107.1167587261676,2561.8069664196746,0.0599641506346069,2437.9456646179187,0.071990966796875,9.408445169359851e-06,795.8,0.083,,,,0.083,0.05939696961967,0.042,23.1,,,,795.8,59.5,18.5
2788,2023-08-28 03:00:00,11578.0,0.0092935839726944,107.60111523585616,2589.068287050744,0.0550912393762728,2462.280427749989,0.068023681640625,9.535564243305415e-06,796.3,0.083,,,,0.083,0.05939696961967,0.042,22.5,,,,796.3,64.0,17.5
