Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
17167,2024-06-22 16:30:00,16542.0,0.0077751001487943,128.6157066613561,2126.749532136301,0.3092626182518457,2043.8627613492856,0.295684814453125,7.509996408693447e-06,726.3,0.169,0.147,0.14,,0.15483064968657118,0.08835607818375892,0.04521106596271039,9.0,8.7,10.1,,726.3,57.2,15.4
17168,2024-06-22 17:00:00,16164.0,0.0078654863030501,127.13772060250254,2104.803883696341,0.3255333366986985,2010.1144380419137,0.320343017578125,8.72342499349383e-06,726.4,0.168,0.147,0.14,,0.15440275486874008,0.0878580449326045,0.04495622651496197,9.5,9.0,10.1,,726.4,58.9,17.4
17169,2024-06-22 17:30:00,16100.0,0.007881104062391,126.8857754044952,2084.072764519568,0.3418955889152575,2003.661504995596,0.325347900390625,7.431881058149799e-06,726.5,0.167,0.147,0.141,,0.15420100809458226,0.08762322881037843,0.04483607306984197,10.0,9.3,10.1,,726.5,47.0,18.5
17170,2024-06-22 18:00:00,16126.000000000002,0.0078747481351304,126.9881884271132,2084.052861821404,0.3419117903002937,2006.897231649626,0.322845458984375,7.11948745362307e-06,726.5,0.166,0.146,0.141,,0.15342715613825553,0.08672253081250333,0.04437519344014947,10.6,9.7,10.2,,726.5,40.5,20.3
17171,2024-06-22 18:30:00,16558.0,0.0077713427001521,128.6778924291193,2132.8009842865795,0.3049529375220561,2050.875363811382,0.290924072265625,7.397529594834025e-06,726.5,0.163,0.146,0.142,,0.15236961972843555,0.08549164818796849,0.04374536109953266,12.9,10.2,10.2,,726.5,40.4,21.0
17172,2024-06-22 19:00:00,16368.0,0.007816317493509,127.9374847337558,2109.17232552024,0.3222115856658439,2025.8182024397013,0.308502197265625,7.619612016531757e-06,726.4,0.159,0.145,0.142,,0.1503120833186155,0.08309685043663016,0.04251996312659491,,11.5,10.4,,726.4,39.5,21.9
17173,2024-06-22 19:30:00,16256.0,0.0078431975642269,127.49901960407382,2070.379874819422,0.3532773617255746,2008.9330742833463,0.321258544921875,5.6642191230634935e-06,726.2,0.154,0.143,0.143,,0.14770684299614203,0.0800645718163451,0.04096837152659309,,13.3,10.8,,726.2,30.4,21.3
17174,2024-06-22 20:00:00,16464.0,0.0077934960798568,128.31211945876353,2108.3222289387177,0.3228546789952984,2033.1086986292148,0.303192138671875,6.850805147893896e-06,726.1,0.15,0.141,0.143,,0.1453033494478264,0.07726710931828615,0.03953693337171129,22.1,15.2,11.3,,726.1,39.2,20.2
17175,2024-06-22 20:30:00,16416.0,0.0078048817631807,128.12493902437572,2091.9980699995217,0.3355207552044711,2025.657644441443,0.308624267578125,6.064827403558798e-06,726.0,0.148,0.14,0.144,,0.14432775071734186,0.07613159519818498,0.03895590029689879,22.7,16.7,11.9,,726.0,34.1,20.5
17176,2024-06-22 21:00:00,16778.0,0.0077202240626823,129.52991932368366,2135.167823659945,0.30328725855543,2069.9069853334995,0.278472900390625,5.838591065422283e-06,726.1,0.145,0.139,0.145,,0.1429242571690262,0.0744980478269294,0.03812002777433787,23.0,17.6,12.4,,726.1,34.0,19.9
