,date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,PRISM_ppt_mm,BaroPress,airRH,airT,date.1,CRNS,Bare,scaled_stationary_N_Des,scaled_stationary_N_UTS,N0,TDR_pore_swc_g,TDR_tot_swc_g,NewName,ND
183,2024-05-16,2024-05-16,5227.270833333333,0.0097817293661894,102.24210525274783,2279.1111685866645,0.1339333422657454,2226.606208762207,0.1211407979329427,4.373735552028858e-06,788.8458333333333,0.1238541666666666,0.1238541666666666,0.1194792691812508,0.0844846014492753,15.145833333333334,0.0,788.8458333333333,51.45208333333333,10.672916666666666,2024-05-16,0.1211407979329427,935.8729644822224,3029.9125685091244,2960.1110424256717,4662.821092772696,0.12221683252774881,0.17421683252774883,R4,7083.623908951097
184,2024-05-17,2024-05-17,5328.791666666667,0.0096880343511591,103.2303908571139,2298.138189106533,0.1275688253658129,2245.9218758880083,0.1157887776692708,4.308542717998816e-06,787.78125,0.1046666666666666,0.1046666666666666,0.092344046453217,0.0652971014492753,15.402083333333332,0.0,787.78125,44.32083333333333,12.51875,2024-05-17,0.1157887776692708,925.1443148754428,3055.2076087024384,2985.789817292058,4563.939662547174,0.10328298849779816,0.15528298849779815,R4,6901.496990625223
185,2024-05-18,2024-05-18,5335.416666666667,0.0096826116184634,103.29242088457222,2353.569814252968,0.1116708167255442,2293.4935626720085,0.1044565836588541,4.851761191881376e-06,789.8604166666668,0.0918541666666666,0.0918541666666666,0.0742244351853118,0.0524846014492753,14.145833333333334,0.0,789.8604166666668,46.55,12.627083333333331,2024-05-18,0.1044565836588541,924.7975025925656,3128.899923513138,3049.0329156010384,4573.446450167724,0.09063986789147929,0.1426398678914793,R4,6868.377239530521
186,2024-05-19,2024-05-19,5329.541666666667,0.0096878982526325,103.23572459298492,2354.805868194932,0.1114343435657413,2285.51791305379,0.1064860026041666,5.627139140542111e-06,789.3291666666668,0.0864791666666666,0.0864791666666666,0.0666230372875564,0.0471096014492753,13.647916666666667,0.3091,789.3291666666668,58.04166666666666,12.377083333333331,2024-05-19,0.1064860026041666,924.584552654292,3130.5431673468447,3038.4298693989304,4532.001897681422,0.0853359246127309,0.13733592461273092,R4,6764.968191825432
187,2024-05-20,2024-05-20,5623.979166666667,0.0094306691988331,106.04992916285067,2401.17501676731,0.0992505982523084,2351.024300231521,0.0921567281087239,3.956790486485011e-06,786.1229166666667,0.0805208333333333,0.0805208333333333,0.0581966814784167,0.041151268115942,15.05625,0.0,786.1229166666667,38.860416666666666,13.514583333333334,2024-05-20,0.0921567281087239,922.467197147956,3192.1875785484444,3125.5158477237674,4570.472079828818,0.07945635958280055,0.13145635958280055,R4,6866.29006502004
188,2024-05-21,2024-05-21,5361.083333333333,0.0096707977677148,103.49964111871788,2319.5499494108167,0.1231921641791334,2262.3319010549294,0.1139233907063802,4.7337649691039925e-06,786.7104166666667,0.0842083333333333,0.0842083333333333,0.0634115939896675,0.044838768115942,13.445833333333333,4.5966,786.7104166666667,65.41666666666667,8.09375,2024-05-21,0.1139233907063802,977.9210783199682,3083.6729870280096,3007.60575246368,4445.60444429584,0.08309511136705817,0.13509511136705815,R4,6663.210517048163
189,2024-05-22,2024-05-22,4912.25,0.0100942815674359,99.10089176998258,2180.622818729525,0.1686988980755897,2131.2463876997244,0.1488355000813802,4.296640227625439e-06,791.3000000000001,0.1612083333333333,0.1612083333333333,0.1723060382923958,0.121838768115942,11.164583333333333,6.5053,791.3000000000001,76.45208333333333,4.054166666666666,2024-05-22,0.1488355000813802,958.9304641578432,2898.979469151394,2833.337094603209,4689.500747622424,0.15907718252308167,0.21107718252308166,R4,7173.607111895349
190,2024-05-23,2024-05-23,5310.354166666667,0.009704708546023,103.0521124757803,2260.076240212152,0.1395768569834511,2212.065088729259,0.1245129903157552,4.021163195931205e-06,784.725,0.1418541666666666,0.1418541666666666,0.1449351133039665,0.1024846014492753,13.195833333333333,0.0,784.725,45.625,10.454166666666667,2024-05-23,0.1245129903157552,972.0363261305624,3004.6070153980963,2940.7796807284926,4742.028786824308,0.1399788751356504,0.19197887513565043,R4,7242.534595766115
191,2024-05-24,2024-05-24,5141.5625,0.0098634343989319,101.39864516934747,2240.695432168924,0.1463515930856554,2184.9535146165595,0.1323293050130208,4.73273815216399e-06,789.2083333333334,0.1250625,0.1250625,0.1211881105691183,0.0856929347826086,12.175,2.0344,789.2083333333334,71.63125000000001,6.127083333333334,2024-05-24,0.1323293050130208,955.0341922940304,2978.841640418844,2904.7368144179936,4592.349250806377,0.12340919186948301,0.175409191869483,R4,6964.682726102282
192,2024-05-25,2024-05-25,5428.5625,0.0095984765059367,104.1927615342707,2279.455306510236,0.1333865920549012,2220.5832739017774,0.1222724914550781,4.909522232252687e-06,784.8249999999999,0.1130208333333333,0.1130208333333333,0.1041586222555423,0.073651268115942,12.127083333333331,0.0,784.8249999999999,59.82291666666666,8.870833333333334,2024-05-25,0.1222724914550781,961.4651212943874,3030.3700748538354,2952.103988498485,4587.647055602756,0.11152671429151179,0.16352671429151178,R4,6931.597163564145
193,2024-05-26,2024-05-26,5021.875,0.0099820754891904,100.20530216984577,2188.207221868377,0.1659606202036438,2121.243022757848,0.1522394816080729,5.848811311993143e-06,790.1020833333333,0.1323541666666666,0.1323541666666666,0.1315000844614221,0.0929846014492753,12.197916666666666,6.6612,790.1020833333333,76.425,7.802083333333333,2024-05-26,0.1522394816080729,961.1801782543668,2909.062381609455,2820.038348327673,4531.854069481496,0.1306044637592579,0.18260446375925793,R4,6842.8698941100065
194,2024-05-27,2024-05-27,5014.729166666667,0.0099870501613771,100.14132593224332,2248.874498571517,0.1437269707136748,2189.282751595752,0.1311848958333333,5.045250798466753e-06,794.5791666666668,0.1366458333333333,0.1366458333333333,0.1375694176666066,0.097276268115942,14.077083333333334,0.0,794.5791666666668,56.80625,10.9875,2024-05-27,0.1311848958333333,957.4944680695309,2989.7151144439194,2910.4922201727045,4685.343246241532,0.13483939521438262,0.18683939521438264,R4,7110.3419341358485
195,2024-05-28,2024-05-28,5009.229166666667,0.0099919915022836,100.08822858131396,2287.67472481441,0.1309815988086791,2227.602133809446,0.1205952962239583,4.995020265109147e-06,795.8395833333334,0.1135,0.1135,0.1048362662541794,0.0741304347826087,15.252083333333331,0.0,795.8395833333334,50.90416666666667,12.9375,2024-05-28,0.1205952962239583,940.9135719419402,3041.297193797794,2961.4350523552944,4607.627833495087,0.11199954644426845,0.16399954644426845,R4,6959.157960727213
196,2024-05-29,2024-05-29,5205.645833333333,0.0098021692330808,102.0298743162906,2330.4245865467306,0.1181685821221852,2269.07020493717,0.1101760864257812,5.007621385418282e-06,792.8854166666666,0.0959375,0.0959375,0.0799991405650019,0.0565679347826086,15.4125,0.0,792.8854166666666,48.11041666666667,13.802083333333334,2024-05-29,0.1101760864257812,941.7343340045686,3098.1300263292183,3016.563837485875,4560.786191343781,0.09466922014975333,0.1466692201497533,R4,6852.800547979807
197,2024-05-30,2024-05-30,5398.708333333333,0.0096246219964343,103.90713526104528,2377.076529015331,0.1054138519639739,2319.368415543975,0.0987536112467448,4.60924495179284e-06,791.35,0.0855625,0.0855625,0.065326674855381,0.0461929347826086,15.525,0.0,791.35,43.49166666666667,13.65625,2024-05-30,0.0987536112467448,942.738591763718,3160.150391451922,3083.4316509526416,4567.213961634912,0.08443137614658783,0.13643137614658785,R4,6852.108937327401
