,date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,PRISM_ppt_mm,BaroPress,airRH,airT,date.1,CRNS,Bare,scaled_stationary_N_Des,scaled_stationary_N_UTS,N0,TDR_pore_swc_g,TDR_tot_swc_g,NewName,ND
74,2023-09-16,2023-09-16,8993.791666666666,0.0074570296024463,134.11239415118078,2364.800417659472,0.2168424103484048,2303.471442144816,0.1992149353027343,4.938840362620488e-06,725.4333333333334,0.1411458333333333,0.1237083333333333,0.0625208333333333,0.1174187348355516,0.0428090626881254,0.0219159578557942,7.273913043478261,8.05625,8.960416666666667,5.9474998,725.4333333333334,78.85833333333333,5.677083333333333,2023-09-16,0.1992149353027343,1249.799291984299,3105.783776224325,3025.2380626226686,4758.8391701571345,0.10195472951934721,0.15745472951934722,F2,7021.726331934135
75,2023-09-17,2023-09-17,9138.104166666666,0.0073974624923827,135.1868469584361,2410.382943892852,0.1965730270772015,2353.437165243633,0.1800219217936197,4.481962781630516e-06,725.75625,0.114875,0.114375,0.0670833333333333,0.1039467554118713,0.0271260483443754,0.0138870906060382,8.460869565217392,9.035416666666666,9.3875,0.0,725.75625,59.19583333333333,7.956250000000001,2023-09-17,0.1800219217936197,1234.2577559472152,3165.649069463349,3090.859977693714,4750.299074963223,0.09025700495984477,0.14575700495984478,F2,7008.443430986014
76,2023-09-18,2023-09-18,9224.520833333334,0.0073628280233609,135.82396467626475,2444.753188415571,0.182946827873957,2384.919908437149,0.1692949930826822,4.644980611180267e-06,723.7333333333332,0.0958958333333333,0.10175,0.0731458333333333,0.0928014735489264,0.01415159152369,0.0072448604092337,8.35,8.84375,9.35625,0.0,723.7333333333332,61.61875,7.758333333333334,2023-09-18,0.1692949930826822,1235.0514250421354,3210.7888398331356,3132.2074809803694,4729.589880980637,0.08057955272579648,0.13607955272579647,F2,6954.3224679510595
77,2023-09-19,2023-09-19,9175.354166666666,0.0073826475470541,135.46078841352173,2437.380542475701,0.1857472675684392,2367.121644256517,0.1753616333007812,5.498596664929427e-06,721.4895833333334,0.0858541666666666,0.0941666666666666,0.0773333333333333,0.0868125297767991,0.0071797362284622,0.0036756421822415,8.674999999999999,8.918750000000001,9.208333333333334,2.9166,721.4895833333334,75.0125,6.860416666666667,2023-09-19,0.1753616333007812,1227.2378758506427,3201.106059004402,3108.832332818026,4666.233174032673,0.07537935070310407,0.13087935070310408,F2,6820.654021302454
78,2023-09-20,2023-09-20,9276.9375,0.0073430060536821,136.20307142122186,2450.1271409758283,0.1810706180953352,2388.516358493805,0.1684405008951822,4.78411981863903e-06,720.4833333333332,0.0803333333333333,0.0884375,0.0799791666666666,0.083057482176902,0.0028084064098362,0.0014377543598259,7.512765957446809,8.164583333333333,8.831249999999999,0.0035,720.4833333333332,75.21875,6.03125,2023-09-20,0.1684405008951822,1235.4921441565618,3217.846659406918,3136.9308378245883,4659.052842004659,0.07211884152698352,0.12761884152698352,F2,6829.279138259643
79,2023-09-21,2023-09-21,9560.958333333334,0.0072322201526543,138.27804531306435,2484.6676340683803,0.1678701922747593,2428.999901987465,0.1551322937011718,4.245826733457507e-06,719.0625,0.0693125,0.081375,0.0802916666666666,0.0759566450177822,0.0054578273422256,0.0027941166310468,9.304166666666667,9.404166666666669,9.404166666666669,0.0034,719.0625,53.69583333333333,8.625,2023-09-21,0.1551322937011718,1241.6230960935832,3263.2100238027224,3190.09943998135,4662.749687130814,0.06595318207806404,0.12145318207806405,F2,6840.553702658498
80,2023-09-22,2023-09-22,9816.25,0.0071374116519264,140.1129483306443,2521.6618568809245,0.154845442107952,2481.3640936775905,0.1398646036783854,3.012258041692706e-06,719.1625,0.0498958333333333,0.073,0.079375,0.0645234618028503,0.0187674361766426,0.0096079267912281,8.669565217391305,9.041666666666666,9.308333333333334,0.0034,719.1625,42.22708333333333,7.766666666666667,2023-09-22,0.1398646036783854,1245.543905051141,3311.795966264177,3258.87135654218,4626.735058857972,0.05602574499695367,0.11152574499695367,F2,6806.295476616987
81,2023-09-23,2023-09-23,9862.854166666666,0.007120868706185,140.44293293144247,2539.1074662241303,0.1495288193603527,2499.997581728889,0.1351610819498697,2.900661588073106e-06,720.7291666666666,0.0426874999999999,0.0662916666666666,0.0774791666666666,0.0586836661884921,0.0255656649672511,0.0130882575042468,8.5,8.875,9.102083333333333,0.0,720.7291666666666,42.42916666666667,6.910416666666666,2023-09-23,0.1351610819498697,1243.696855563058,3334.7079592001824,3283.343436491096,4602.417891510863,0.050955048373079896,0.1064550483730799,F2,6758.775340014783
82,2023-09-24,2023-09-24,10004.916666666666,0.0070696125904127,141.45423000524917,2571.1528324233404,0.1389920808412726,2536.837496989779,0.1252873738606771,2.5055517599169125e-06,722.50625,0.0366875,0.06025,0.0751875,0.0535037908703278,0.0315956666736682,0.0161752969059495,7.888888888888889,8.527083333333334,8.829166666666667,0.0,722.50625,41.24583333333333,5.535416666666666,2023-09-24,0.1252873738606771,1224.8278791768053,3376.794377022782,3331.726720881748,4608.648386073179,0.04645736077878737,0.10195736077878736,F2,6766.976707664206
83,2023-09-25,2023-09-25,9561.395833333334,0.0072330697913618,138.27468580225832,2602.53382112218,0.1300093288200443,2568.197128201193,0.1179974873860677,2.476249537117054e-06,725.8916666666668,0.0300833333333333,0.0547916666666666,0.0728333333333333,0.0482524952696648,0.037708810231749,0.0193049005032383,8.371739130434783,8.641666666666667,8.829166666666667,0.0,725.8916666666668,36.90833333333333,7.158333333333334,2023-09-25,0.1179974873860677,1231.900897041932,3418.0082421992765,3372.9125364446463,4610.411914679594,0.04189765892761711,0.09739765892761712,F2,6753.642287394486
84,2023-09-26,2023-09-26,9572.25,0.007227874947695,138.36018041759152,2583.645661021388,0.13533226599677,2543.2545405556853,0.1237716674804687,2.939965010661916e-06,725.81875,0.0238333333333333,0.0499999999999999,0.0707708333333333,0.0434494187401511,0.0433001725503469,0.0221673799231593,9.730434782608697,9.764583333333333,9.485416666666667,0.0,725.81875,36.958333333333336,9.014583333333333,2023-09-26,0.1237716674804687,1227.019550258756,3393.2016916059592,3340.154472183501,4526.324734105506,0.03772714585648645,0.09322714585648645,F2,6597.274889954922
